%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
10038.740,272.754,0.128,14.356,13.213,12.270,-7.892,-3.345,-1.390,0.418,0.973,-3.737,-3.204,-4.068,-2.233,0.835,3.698,-3.718,1.885,1.151,-1.037,-2.703,0.000,37.525,25.883,-0.184,33.103,-14.427
10042.771,272.756,0.128,14.354,13.213,12.431,-8.541,-2.118,-1.497,0.209,1.190,-4.568,-2.776,-3.533,-2.010,0.731,4.649,-2.868,1.675,0.628,-0.933,-2.590,0.000,37.641,25.842,-0.184,33.086,-14.427
10038.740,272.753,0.128,14.313,13.134,12.110,-8.108,-1.895,-1.069,0.523,0.649,-4.049,-3.738,-4.175,-1.786,0.209,3.804,-3.187,2.304,0.628,-1.037,-2.365,0.000,37.737,25.842,-0.187,33.119,-14.427
10038.740,272.753,0.128,14.356,13.213,12.431,-8.973,-3.010,-0.748,-0.000,0.865,-3.945,-3.097,-5.031,-2.233,1.044,3.381,-3.399,1.571,0.419,-0.829,-2.477,0.000,37.814,25.832,-0.187,33.086,-14.417
10038.740,272.753,0.128,14.356,13.213,12.110,-8.000,-2.676,-0.962,0.209,0.433,-3.945,-2.990,-4.068,-1.898,0.731,4.437,-3.930,1.989,1.047,-1.140,-2.252,0.000,37.949,25.801,-0.189,33.086,-14.438
10046.802,272.754,0.128,14.351,13.213,12.270,-8.216,-2.453,-1.497,0.418,1.190,-4.983,-3.097,-4.389,-2.233,0.835,4.543,-2.974,1.780,0.523,-0.726,-2.815,0.000,38.007,25.791,-0.189,33.103,-14.438
10038.740,272.754,0.128,14.356,13.213,12.270,-8.433,-2.564,-1.390,0.209,0.757,-4.152,-4.058,-4.496,-1.340,0.000,4.437,-3.293,2.094,0.419,-0.622,-1.577,0.000,38.122,25.791,-0.190,33.086,-14.427
10046.802,272.754,0.128,14.393,13.292,11.790,-8.757,-2.341,-1.069,-0.313,0.973,-4.152,-3.844,-4.496,-1.451,1.775,3.592,-3.399,1.989,-0.105,-0.518,-2.027,0.000,38.237,25.781,-0.192,33.103,-14.417
10038.740,272.754,0.128,14.313,13.134,12.270,-8.000,-2.341,-1.604,0.732,0.324,-3.841,-2.990,-4.817,-1.675,0.940,4.015,-3.293,1.256,1.151,-1.244,-2.365,0.000,38.295,25.751,-0.193,33.103,-14.427
10038.740,272.758,0.128,14.356,13.213,12.270,-8.108,-3.122,-1.069,0.523,1.190,-3.945,-3.204,-3.961,-2.568,1.044,3.909,-3.399,2.094,0.942,-0.933,-2.477,0.000,38.353,25.740,-0.193,33.119,-14.427
10042.771,272.754,0.128,14.354,13.213,12.591,-8.757,-2.230,-1.818,0.418,1.190,-4.049,-3.204,-4.282,-1.116,0.313,3.909,-3.612,0.838,0.942,-0.518,-2.027,0.000,38.449,25.740,-0.195,33.086,-14.427
10042.771,272.758,0.128,14.354,13.213,12.591,-8.757,-2.564,-1.283,0.209,0.865,-3.633,-3.524,-4.282,-2.456,0.940,4.015,-2.974,1.989,0.314,-0.829,-2.252,0.000,38.565,25.751,-0.195,33.119,-14.417
10038.740,272.754,0.128,14.356,13.213,12.270,-9.081,-2.564,-1.069,0.418,1.081,-3.633,-2.883,-4.603,-1.675,0.731,4.121,-3.293,2.094,1.570,-0.829,-2.365,0.000,38.622,25.730,-0.195,33.086,-14.427
10046.802,272.754,0.128,14.308,13.134,12.591,-7.892,-2.564,-0.855,0.314,0.757,-4.152,-3.204,-4.068,-2.121,1.462,4.754,-3.824,1.885,1.047,-0.726,-2.703,0.000,38.699,25.710,-0.197,33.119,-14.406
10034.708,272.756,0.128,14.316,13.134,12.591,-8.324,-2.118,-0.962,0.209,0.973,-5.294,-3.097,-3.854,-1.340,0.731,3.592,-2.974,0.942,0.942,-0.829,-3.378,0.000,38.757,25.700,-0.196,33.086,-14.417
10042.771,272.753,0.128,14.353,13.213,12.591,-7.784,-2.230,-1.069,0.732,1.081,-3.737,-3.631,-4.068,-1.786,0.522,4.121,-3.081,1.885,0.838,-1.037,-1.914,0.000,38.796,25.700,-0.196,33.086,-14.417
10046.802,272.756,0.128,14.351,13.213,12.431,-9.189,-2.341,-1.497,0.523,0.973,-4.256,-3.204,-4.068,-1.563,1.462,3.275,-3.399,1.466,0.733,-0.207,-1.689,0.000,38.892,25.680,-0.197,33.103,-14.427
10042.771,272.754,0.128,14.354,13.213,12.591,-7.892,-2.899,-1.390,0.314,0.000,-4.256,-3.417,-4.603,-1.786,0.940,4.754,-3.612,1.885,1.047,-1.244,-1.914,0.000,38.911,25.690,-0.197,33.119,-14.427
10034.708,272.758,0.128,14.359,13.213,12.591,-8.433,-2.453,-0.962,0.209,1.298,-4.672,-3.204,-4.068,-2.010,0.731,4.332,-3.293,1.780,0.942,-0.726,-2.927,0.000,39.007,25.690,-0.198,33.070,-14.427
10038.740,272.756,0.128,14.313,13.134,12.591,-8.541,-2.118,-1.711,0.627,1.190,-3.426,-3.097,-4.282,-1.451,-0.313,4.437,-2.974,1.571,1.256,-1.037,-2.027,0.000,39.007,25.680,-0.198,33.086,-14.417
10042.771,272.761,0.128,14.397,13.292,12.591,-8.216,-2.453,-0.535,-0.418,1.298,-3.218,-3.097,-4.068,-1.786,0.835,3.698,-3.293,2.304,-0.000,-0.726,-1.689,0.000,39.104,25.659,-0.197,33.119,-14.427
10034.708,272.754,0.128,14.402,13.292,12.591,-8.324,-2.564,-1.176,0.314,0.757,-4.152,-3.097,-4.710,-1.563,1.253,4.332,-2.974,1.780,0.733,-1.244,-2.477,0.000,39.142,25.669,-0.198,33.103,-14.417
10038.740,272.758,0.128,14.313,13.134,12.751,-8.108,-2.564,-0.962,0.314,1.514,-4.152,-2.883,-4.068,-2.121,1.670,4.437,-3.506,2.094,1.152,-0.518,-2.364,0.000,39.161,25.649,-0.196,33.086,-14.427
10038.740,272.754,0.128,14.313,13.134,12.110,-7.892,-1.895,-1.818,-0.209,1.081,-4.464,-3.097,-3.854,-1.451,0.626,4.015,-3.187,0.942,0.838,-0.622,-2.252,0.000,39.200,25.649,-0.197,33.103,-14.427
10038.740,272.758,0.128,14.399,13.292,12.270,-8.324,-1.895,-0.962,-0.104,0.649,-3.633,-3.951,-4.389,-1.228,1.044,4.332,-2.974,1.989,0.209,-0.622,-2.139,0.000,39.238,25.659,-0.196,33.119,-14.427
