%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82400.753,300.019,0.957,24.531,287.885,285.730,-8.000,-2.453,-1.176,0.209,0.757,-4.671,-4.058,-4.282,-2.680,0.835,3.698,-3.293,1.361,0.733,-0.726,-2.927,0.000,69.242,-7.792,-0.018,22.979,-8.295
82396.722,300.019,0.957,24.535,287.964,285.570,-8.541,-2.230,-1.818,-0.209,1.081,-4.256,-3.310,-4.603,-2.010,0.522,3.804,-3.293,0.942,0.837,-0.726,-2.815,0.000,69.281,-7.782,-0.018,23.012,-8.295
82396.722,300.017,0.957,24.541,288.122,285.410,-8.541,-2.453,-0.748,-0.418,1.406,-4.048,-3.204,-4.068,-1.898,1.044,3.909,-3.293,2.094,0.209,-0.518,-1.914,0.000,69.300,-7.782,-0.020,22.996,-8.317
82400.753,300.017,0.957,24.537,288.043,285.730,-7.676,-2.341,-1.283,0.732,0.649,-3.944,-3.524,-5.460,-2.568,1.148,3.698,-2.974,1.675,0.942,-0.829,-2.927,0.000,69.338,-7.782,-0.020,22.979,-8.306
82404.785,300.019,0.957,24.540,288.122,285.570,-7.784,-3.456,-0.962,0.209,0.973,-4.359,-2.883,-3.747,-2.456,0.940,4.121,-3.930,1.885,0.942,-0.207,-2.590,0.000,69.358,-7.792,-0.021,22.996,-8.295
82396.722,300.012,0.957,24.538,288.043,285.250,-8.000,-1.672,-2.138,-0.209,1.298,-4.464,-3.310,-3.854,-1.005,0.835,4.121,-2.868,1.361,0.942,-0.726,-2.702,0.000,69.396,-7.812,-0.022,23.012,-8.284
82400.753,300.014,0.957,24.541,288.122,285.410,-8.108,-2.564,-0.748,0.314,1.081,-3.841,-4.378,-5.139,-1.116,0.626,3.698,-3.081,2.408,0.419,-0.829,-2.027,0.000,69.435,-7.823,-0.024,22.947,-8.284
82388.659,300.017,0.957,24.539,288.043,285.570,-8.216,-2.230,-0.748,0.837,1.406,-3.841,-2.349,-4.389,-1.563,1.566,4.015,-2.656,2.618,1.465,-0.311,-2.027,0.000,69.512,-7.823,-0.025,22.979,-8.295
82396.722,300.012,0.957,24.538,288.043,285.250,-7.460,-2.453,-1.390,0.732,0.757,-3.945,-3.417,-4.603,-1.451,1.044,4.226,-4.143,2.304,0.942,-1.037,-2.590,0.000,69.492,-7.873,-0.026,22.996,-8.317
82396.722,300.016,0.957,24.541,288.122,285.250,-7.676,-2.676,-1.497,0.314,1.514,-4.568,-2.670,-3.747,-1.898,0.731,4.121,-2.656,1.780,0.942,0.000,-3.040,0.000,69.531,-7.904,-0.026,22.947,-8.306
