%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82678.919,299.719,0.961,14.945,107.322,89.308,-7.568,-2.676,-0.962,-0.522,0.865,-3.737,-4.165,-4.496,-1.786,1.461,3.909,-2.974,2.827,1.047,-0.829,-2.252,0,-544.798,-289.718,14.557,27.971,-10.019
82678.919,299.72,0.961,14.951,107.401,89.148,-7.892,-1.672,-0.855,-0.104,0.649,-4.359,-3.631,-5.139,-2.233,1.044,4.015,-3.293,2.827,1.465,-0.622,-2.477,0,-544.798,-289.718,14.557,28.036,-10.03
82670.857,299.719,0.961,14.957,107.48,89.308,-7.135,-3.345,-0.962,-0.522,0.324,-3.84,-3.631,-4.068,-2.568,1.148,4.649,-3.718,2.827,1.57,-0.311,-2.477,0,-544.798,-289.718,14.557,28.003,-10.019
82674.888,299.72,0.961,14.951,107.401,89.308,-7.243,-2.118,-1.71,0.523,0.757,-4.463,-3.631,-3.961,-1.563,1.253,4.015,-2.974,2.304,1.361,-1.14,-2.59,0,-544.798,-289.718,14.557,27.971,-10.03
82670.857,299.719,0.961,14.94,107.243,89.148,-7.135,-2.118,-0.748,0.314,1.406,-3.322,-3.844,-4.175,-1.898,0.731,3.698,-3.187,2.513,1.256,-0.415,-2.252,0,-544.798,-289.718,14.557,28.02,-10.03
82678.919,299.719,0.961,14.945,107.322,89.148,-8.108,-2.23,-0.855,-0.104,1.19,-3.737,-3.31,-4.817,-1.451,1.357,3.592,-3.718,2.304,1.047,-1.244,-2.365,0,-544.798,-289.718,14.557,28.02,-10.041
82674.888,299.724,0.961,14.951,107.401,88.988,-7.027,-3.01,-1.71,0.209,0.433,-4.152,-3.844,-4.496,-1.898,1.67,4.754,-3.399,2.618,1.361,-0.933,-2.477,0,-544.798,-289.718,14.557,28.003,-10.019
82678.919,299.724,0.961,14.934,107.164,88.988,-7.568,-2.118,-1.176,-0.104,1.514,-4.464,-3.417,-4.068,-1.786,1.566,4.649,-3.399,1.989,1.884,-0.622,-3.265,0,-544.798,-289.718,14.557,28.02,-10.019
82678.919,299.719,0.961,14.934,107.164,89.148,-7.46,-2.23,-1.283,0.209,0.973,-3.841,-3.951,-3.854,-1.34,0.313,4.226,-3.081,3.246,1.047,-0.415,-2.027,0,-544.798,-289.718,14.557,27.971,-10.008
82678.919,299.724,0.961,14.94,107.243,88.668,-7.135,-2.118,-1.176,-0.522,0.865,-3.53,-3.31,-4.71,-1.563,1.461,3.909,-3.081,2.513,1.047,-0.726,-2.59,0,-544.798,-289.718,14.557,28.003,-10.03
82682.951,299.722,0.961,14.934,107.164,88.988,-7.135,-2.564,-1.176,0.314,0.757,-4.152,-3.631,-4.496,-1.786,1.461,4.332,-3.93,2.932,1.57,-1.659,-1.689,0,-544.798,-289.718,14.557,27.971,-10.008
82678.919,299.724,0.961,14.934,107.164,88.668,-7.243,-2.899,-0.748,0.837,1.298,-3.945,-3.524,-4.068,-2.344,1.148,4.121,-3.717,2.618,1.57,-0.207,-2.702,0,-544.798,-289.718,14.557,28.02,-10.03
82682.951,299.724,0.961,14.934,107.164,88.508,-7.027,-2.118,-1.39,0,0.865,-3.011,-3.738,-4.282,-1.563,0.209,4.332,-3.399,1.989,1.361,-0.518,-2.477,0,-544.798,-289.718,14.557,28.003,-10.019
82674.888,299.725,0.961,14.935,107.164,88.508,-7.243,-2.118,-0.641,-0.94,1.298,-4.152,-4.378,-4.282,-1.898,1.357,3.909,-3.399,2.932,0.733,-0.415,-2.365,0,-544.798,-289.718,14.557,28.003,-10.008
82678.919,299.724,0.961,14.923,107.006,88.828,-7.352,-2.007,-1.069,0.209,0.649,-3.945,-3.631,-4.817,-1.674,1.253,3.909,-3.399,2.408,1.675,-1.762,-2.027,0,-544.798,-289.718,14.557,28.003,-10.019
82682.951,299.72,0.961,14.934,107.164,88.508,-6.919,-2.564,-1.283,0.105,0.865,-3.841,-3.631,-4.068,-2.902,0.731,4.226,-3.824,2.513,1.361,-0.415,-2.59,0,-544.798,-289.718,14.557,27.971,-10.008
82670.857,299.724,0.961,14.935,107.164,88.668,-7.027,-2.23,-2.352,-0.313,0.865,-4.36,-3.417,-4.71,-1.674,1.148,3.909,-3.611,2.199,1.884,-1.14,-2.252,0,-544.798,-289.718,14.557,27.971,-10.03
82670.857,299.722,0.961,14.918,106.927,88.508,-7.568,-2.007,-0.855,-0.418,0.973,-3.737,-4.485,-4.282,-1.563,0.94,4.226,-3.399,2.408,0.942,-1.244,-2.477,0,-544.798,-289.718,14.557,28.02,-10.03
82674.888,299.725,0.961,14.929,107.085,88.828,-7.46,-2.341,-1.39,-0.313,0.757,-3.945,-3.738,-5.139,-1.898,1.357,3.487,-3.399,2.513,1.151,-0.829,-2.702,0,-544.798,-289.718,14.557,27.987,-10.019
82674.888,299.725,0.961,14.929,107.085,88.828,-7.027,-3.456,-1.497,0,1.081,-3.633,-3.31,-4.068,-2.456,0.626,4.226,-4.036,2.513,1.675,-0.622,-2.927,0,-544.798,-289.718,14.557,28.036,-10.03
82674.888,299.722,0.961,14.929,107.085,88.668,-7.243,-1.895,-1.069,0.314,0.757,-4.464,-3.31,-4.496,-2.679,1.044,4.015,-2.868,2.199,1.151,-0.518,-3.49,0,-544.798,-289.718,14.557,28.003,-10.019
82674.888,299.727,0.961,14.924,107.006,88.828,-7.352,-1.895,-1.39,0.209,1.406,-3.633,-4.699,-4.496,-2.009,0,3.909,-2.974,2.722,0.942,-1.037,-2.365,0,-544.798,-289.718,14.557,27.987,-10.019
82678.919,299.724,0.961,14.923,107.006,88.828,-7.784,-2.453,-0.962,0.105,0.865,-3.737,-2.99,-4.389,-1.786,1.461,3.592,-3.186,2.513,1.465,-0.726,-2.139,0,-544.798,-289.718,14.557,27.987,-10.03
82674.888,299.725,0.961,14.929,107.085,88.828,-6.811,-2.899,-1.604,0.523,0.216,-3.737,-3.417,-5.031,-1.898,1.357,4.332,-3.399,2.199,1.256,-1.348,-2.252,0,-544.798,-289.718,14.557,27.987,-10.03
82678.919,299.727,0.961,14.918,106.927,88.828,-7.243,-2.453,-0.855,0,1.298,-4.672,-3.524,-3.961,-2.567,0.94,4.543,-3.717,2.304,1.047,-0.311,-3.716,0,-544.798,-289.718,14.557,28.036,-10.019
82670.857,299.725,0.961,14.918,106.927,88.988,-7.352,-1.895,-1.817,0.523,1.081,-3.945,-3.524,-4.282,-1.116,0.209,3.909,-3.611,1.989,0.942,-0.933,-2.702,0,-544.798,-289.718,14.557,28.003,-10.03
82678.919,299.727,0.961,14.918,106.927,89.308,-7.46,-2.787,-0.962,-0.835,0.649,-3.945,-4.165,-4.282,-1.898,1.253,3.592,-3.505,2.304,0.314,-0.726,-2.027,0,-544.798,-289.718,14.557,27.987,-10.03
82678.919,299.725,0.961,14.918,106.927,89.468,-7.135,-2.787,-0.962,0.418,0.433,-4.049,-3.951,-5.031,-2.567,0.94,3.804,-3.08,2.094,1.465,-1.244,-2.027,0,-544.798,-289.718,14.557,28.003,-10.041
