%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82985.305,300.066,0.963,24.781,295.826,292.441,-6.919,-2.230,-1.283,-0.731,1.189,-3.945,-3.417,-4.389,-2.010,1.670,4.015,-3.612,2.932,1.256,-0.622,-2.027,0.000,56.529,0.936,-0.939,17.983,-10.064
82985.305,300.066,0.963,24.781,295.826,292.121,-7.568,-3.010,-0.962,-0.000,0.324,-4.152,-3.097,-4.603,-1.898,1.044,3.592,-3.293,2.199,1.047,-1.658,-3.041,0.000,56.702,0.875,-0.939,18.016,-10.096
82985.305,300.062,0.963,24.784,295.905,292.281,-7.460,-3.122,-0.962,-0.104,1.081,-3.633,-3.844,-4.175,-3.238,1.462,4.332,-3.293,2.304,1.779,-0.207,-2.590,0.000,56.760,0.875,-0.940,18.032,-10.075
82989.337,300.067,0.963,24.780,295.826,292.441,-7.135,-1.895,-1.497,0.314,1.189,-3.633,-3.524,-4.389,-1.563,1.148,3.804,-3.506,1.361,1.256,-1.244,-3.041,0.000,56.914,0.864,-0.941,18.000,-10.054
82993.368,300.067,0.964,24.783,295.905,292.121,-7.676,-2.564,-0.855,-0.209,0.757,-3.945,-4.378,-4.710,-1.563,1.253,3.909,-3.293,2.199,0.628,-1.037,-2.252,0.000,57.068,0.885,-0.943,18.032,-10.075
82985.305,300.064,0.963,24.778,295.747,291.961,-7.135,-2.007,-0.962,0.732,1.081,-3.114,-2.990,-5.031,-2.010,1.044,3.804,-2.868,2.304,1.361,-1.555,-2.928,0.000,57.203,0.895,-0.944,17.983,-10.064
82985.305,300.066,0.963,24.778,295.747,292.441,-7.243,-3.010,-0.962,0.523,0.865,-3.841,-3.524,-4.496,-2.233,0.835,4.015,-4.355,2.723,1.256,-1.037,-2.703,0.000,57.395,0.925,-0.947,18.032,-10.064
82981.274,300.069,0.963,24.772,295.588,292.281,-6.811,-1.784,-1.390,0.209,0.865,-4.152,-3.631,-4.068,-2.345,0.522,3.909,-2.974,1.885,1.465,-1.037,-2.815,0.000,57.549,0.956,-0.952,17.983,-10.064
82981.274,300.062,0.963,24.778,295.747,292.121,-7.460,-1.895,-0.855,0.105,0.433,-3.114,-3.951,-4.496,-1.786,1.044,4.437,-3.187,2.723,1.256,-0.622,-1.914,0.000,57.742,1.007,-0.954,18.016,-10.064
82989.337,300.067,0.963,24.774,295.667,292.121,-7.568,-2.341,-1.069,0.209,0.973,-3.011,-2.776,-5.031,-2.010,1.566,3.592,-2.868,2.094,1.465,-0.622,-2.027,0.000,57.896,1.037,-0.958,18.016,-10.064
82985.305,300.062,0.963,24.768,295.509,292.121,-6.919,-2.899,-0.855,0.418,1.298,-3.530,-3.524,-4.282,-1.675,1.148,4.860,-3.930,2.409,1.989,-0.518,-2.140,0.000,58.030,1.088,-0.962,18.000,-10.075
82981.274,300.066,0.963,24.772,295.588,292.121,-6.919,-2.007,-1.069,-0.209,1.298,-4.672,-3.631,-4.282,-1.675,1.357,4.015,-3.399,1.990,0.942,-0.518,-3.041,0.000,58.203,1.139,-0.964,18.016,-10.064
82985.305,300.064,0.963,24.774,295.667,292.441,-7.351,-1.561,-0.855,0.105,0.865,-3.530,-4.271,-4.603,-1.116,0.418,4.226,-3.293,2.408,1.675,-0.933,-1.914,0.000,58.357,1.200,-0.968,18.016,-10.064
82981.274,300.062,0.963,24.775,295.667,292.121,-7.460,-1.449,-0.321,0.627,1.514,-2.907,-2.670,-4.282,-1.451,2.088,3.487,-3.081,2.618,1.465,-0.415,-2.027,0.000,58.454,1.220,-0.970,18.000,-10.075
82985.305,300.064,0.963,24.774,295.667,291.961,-7.027,-2.341,-1.069,0.105,0.000,-3.737,-3.204,-4.496,-1.786,1.253,4.015,-3.506,2.199,1.047,-1.451,-2.140,0.000,58.531,1.261,-0.972,17.983,-10.096
82981.274,300.067,0.963,24.772,295.588,292.441,-7.243,-2.007,-1.069,0.314,1.514,-4.152,-3.097,-4.175,-2.010,0.940,4.438,-3.187,2.304,1.151,-0.622,-3.265,0.000,58.608,1.261,-0.973,18.016,-10.075
82977.243,300.066,0.963,24.776,295.667,292.281,-7.243,-2.899,-1.176,0.209,1.298,-3.114,-3.951,-4.710,-1.786,0.209,3.804,-3.293,2.513,0.837,-0.829,-1.689,0.000,58.646,1.271,-0.976,18.032,-10.064
82985.305,300.066,0.963,24.771,295.588,292.441,-7.460,-2.118,-0.748,0.418,1.190,-3.322,-3.417,-4.496,-1.786,1.879,4.226,-2.762,3.141,1.151,-0.311,-1.689,0.000,58.665,1.281,-0.976,18.000,-10.086
82977.243,300.064,0.963,24.779,295.747,292.601,-6.595,-2.453,-1.069,0.314,0.433,-3.633,-3.310,-5.246,-1.898,1.461,4.226,-3.824,1.989,1.465,-1.451,-2.590,0.000,58.685,1.251,-0.976,18.016,-10.075
82977.243,300.067,0.963,24.772,295.588,292.921,-6.919,-2.899,-1.711,0.209,1.406,-3.841,-3.631,-4.496,-2.456,0.940,3.804,-3.081,2.408,1.361,-0.518,-2.702,0.000,58.646,1.240,-0.975,18.032,-10.086
82985.305,300.064,0.963,24.774,295.667,292.441,-7.243,-1.895,-1.604,0.314,1.406,-3.633,-3.417,-4.603,-0.893,0.731,3.909,-2.762,1.989,1.361,-0.415,-2.702,0.000,58.627,1.190,-0.974,18.000,-10.075
82981.274,300.064,0.963,24.775,295.667,292.921,-7.135,-2.118,-0.855,-0.313,1.406,-3.841,-4.058,-4.282,-1.340,1.253,3.804,-3.824,2.304,0.523,-0.622,-2.702,0.000,58.550,1.149,-0.973,18.016,-10.086
