%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82400.753,300.272,0.956,24.958,297.753,274.337,-8.973,-3.344,-1.925,-0.000,0.433,-5.502,-4.486,-4.497,-3.796,0.104,3.593,-3.612,1.361,0.209,-0.933,-3.716,0.000,12.923,-2.313,-0.292,43.021,-9.000
82400.753,300.269,0.956,24.958,297.753,274.177,-9.514,-3.233,-2.994,-0.209,0.216,-5.294,-4.273,-5.139,-3.014,-0.730,3.170,-3.931,0.942,0.209,-1.658,-2.815,0.000,12.865,-2.283,-0.296,43.054,-9.000
82404.785,300.267,0.956,24.954,297.674,273.857,-8.757,-3.010,-1.711,-0.731,0.433,-4.775,-4.486,-4.818,-2.568,0.209,3.381,-4.037,1.152,-0.941,-1.348,-2.590,0.000,12.826,-2.252,-0.301,43.005,-9.010
82396.722,300.269,0.956,24.952,297.595,274.337,-9.838,-3.344,-1.283,-0.209,0.108,-4.568,-3.632,-5.139,-2.791,0.209,3.170,-3.931,1.466,0.419,-1.451,-2.703,0.000,12.749,-2.181,-0.304,43.021,-9.010
82404.785,300.270,0.956,24.951,297.595,274.177,-8.216,-3.344,-1.818,-0.522,-0.108,-5.398,-4.273,-4.497,-3.573,-0.417,3.698,-4.250,1.466,0.314,-1.762,-3.378,0.000,12.672,-2.141,-0.308,43.037,-9.000
82400.753,300.267,0.956,24.958,297.753,273.857,-9.297,-3.344,-2.246,-0.731,0.000,-6.125,-4.166,-4.925,-3.126,-0.208,3.910,-3.400,1.256,0.105,-1.451,-3.266,0.000,12.634,-2.110,-0.312,43.005,-9.010
82404.785,300.270,0.956,24.958,297.753,273.857,-8.649,-2.787,-1.711,-0.209,0.757,-4.671,-4.807,-4.818,-2.679,-0.313,3.170,-3.187,1.885,0.209,-1.555,-2.140,0.000,12.557,-2.039,-0.317,43.005,-9.000
82400.753,300.269,0.956,24.951,297.595,274.017,-9.622,-3.233,-1.283,-0.209,0.649,-4.879,-3.845,-4.925,-2.233,0.731,2.959,-3.612,1.256,-0.000,-1.451,-2.815,0.000,12.499,-2.019,-0.319,43.021,-8.989
82408.816,300.267,0.956,24.953,297.674,273.857,-8.865,-3.679,-2.139,-0.209,-0.432,-4.983,-4.486,-4.925,-2.567,0.209,3.698,-4.037,1.361,0.837,-1.762,-3.041,0.000,12.441,-1.988,-0.323,43.054,-9.000
82400.753,300.269,0.956,24.951,297.595,274.017,-9.081,-3.567,-2.246,-0.209,0.541,-5.087,-4.059,-4.283,-3.014,-0.104,3.910,-3.612,1.571,0.628,-0.933,-3.378,0.000,12.326,-1.968,-0.325,43.021,-9.000
82404.785,300.267,0.956,24.947,297.516,273.857,-8.541,-2.676,-2.032,-0.940,0.325,-4.775,-4.059,-4.925,-2.902,-0.313,3.486,-3.294,0.838,0.314,-1.451,-3.153,0.000,12.230,-1.958,-0.328,43.021,-9.010
82404.785,300.267,0.956,24.947,297.516,273.537,-9.189,-3.010,-1.818,-0.209,0.649,-4.256,-4.166,-4.283,-2.567,0.522,3.275,-3.399,2.199,-0.314,-0.518,-2.815,0.000,12.114,-1.927,-0.329,43.021,-9.000
82412.847,300.264,0.956,24.949,297.595,274.017,-9.622,-3.010,-1.925,0.000,0.000,-4.775,-4.166,-5.139,-2.456,0.626,2.641,-3.718,1.361,0.314,-1.555,-3.041,0.000,11.979,-1.958,-0.330,43.037,-8.989
82404.785,300.269,0.956,24.951,297.595,273.857,-9.189,-3.902,-2.246,-0.522,0.000,-5.087,-3.845,-4.069,-2.567,0.418,4.437,-4.355,1.676,1.047,-0.933,-2.365,0.000,11.864,-1.927,-0.331,43.021,-9.010
82400.753,300.270,0.956,24.945,297.437,273.697,-8.432,-2.564,-2.139,-0.418,0.541,-5.502,-3.952,-4.390,-2.791,0.418,3.803,-3.612,1.047,-0.000,-1.244,-3.941,0.000,11.729,-1.968,-0.332,42.988,-9.010
82396.722,300.266,0.956,24.952,297.595,274.017,-9.622,-3.010,-1.925,-0.522,0.433,-4.775,-4.914,-5.139,-2.456,-0.417,3.803,-3.505,1.885,0.314,-0.829,-2.477,0.000,11.537,-1.978,-0.332,43.037,-9.000
82408.816,300.267,0.956,24.944,297.437,274.177,-9.297,-3.233,-1.925,-1.044,0.325,-4.152,-4.059,-4.176,-3.126,0.522,3.064,-4.143,1.257,0.105,-1.348,-3.041,0.000,11.421,-2.039,-0.332,43.021,-9.000
82400.753,300.267,0.956,24.945,297.437,273.857,-8.757,-3.679,-1.818,0.105,-0.756,-4.983,-4.166,-5.032,-3.014,0.418,4.226,-4.143,1.466,0.837,-2.280,-2.928,0.000,11.248,-2.039,-0.331,43.054,-8.989
82404.785,300.269,0.956,24.951,297.595,273.697,-9.081,-3.344,-1.925,-0.209,0.216,-5.191,-4.273,-4.604,-3.460,-0.208,3.170,-3.930,0.943,0.105,-1.348,-3.716,0.000,11.075,-2.090,-0.330,43.037,-9.021
82400.753,300.267,0.956,24.938,297.279,273.857,-9.730,-3.121,-2.887,-0.418,0.108,-5.502,-4.380,-5.032,-2.456,-0.417,3.592,-3.718,1.047,0.942,-1.348,-2.365,0.000,10.940,-2.131,-0.330,43.021,-9.010
