%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
16339.595,272.745,0.209,24.727,63.801,62.860,-8.108,-2.787,-1.176,0.732,0.541,-4.256,-2.883,-4.068,-2.791,0.522,4.332,-3.399,1.989,0.942,-1.140,-2.252,0.000,58.574,1.575,-0.804,33.091,-17.179
16335.564,272.745,0.209,24.714,63.722,63.020,-8.433,-3.456,-1.069,0.523,1.514,-4.152,-3.417,-3.640,-2.233,1.044,4.332,-3.081,2.094,0.628,-0.311,-2.703,0.000,58.555,1.636,-0.804,33.059,-17.201
16339.595,272.745,0.209,24.696,63.643,63.020,-8.433,-2.453,-1.604,0.209,0.973,-4.360,-3.097,-4.282,-1.898,0.104,4.015,-3.506,1.256,0.733,-1.140,-2.365,0.000,58.497,1.686,-0.806,33.042,-17.190
16343.626,272.743,0.209,24.739,63.880,62.699,-8.865,-2.341,-1.069,0.209,1.298,-4.152,-3.524,-4.282,-1.898,0.731,4.226,-3.293,1.466,-0.209,-0.933,-2.252,0.000,58.478,1.758,-0.807,33.075,-17.201
16339.595,272.746,0.209,24.727,63.801,63.020,-8.324,-2.676,-1.176,0.418,0.973,-4.464,-3.310,-5.246,-2.009,1.044,4.437,-3.399,1.152,1.152,-1.348,-2.365,0.000,58.420,1.819,-0.810,33.075,-17.212
16343.626,272.745,0.209,24.708,63.722,62.860,-8.216,-3.567,-1.390,0.627,1.406,-4.152,-3.524,-3.961,-2.791,0.940,4.543,-3.293,1.780,0.733,-0.104,-2.815,0.000,58.363,1.880,-0.811,33.091,-17.212
16343.626,272.743,0.209,24.708,63.722,62.860,-8.865,-2.341,-2.031,0.523,0.541,-4.256,-3.631,-3.961,-1.786,-0.208,4.120,-3.293,1.256,1.256,-0.622,-2.590,0.000,58.305,1.920,-0.812,33.059,-17.190
16343.626,272.741,0.209,24.708,63.722,62.699,-8.541,-2.676,-0.855,-0.104,1.298,-4.568,-3.844,-4.389,-1.563,0.940,3.698,-3.187,1.571,0.314,-0.415,-2.365,0.000,58.209,1.981,-0.813,33.075,-17.201
16347.658,272.743,0.209,24.705,63.722,62.860,-8.973,-2.564,-0.748,0.209,0.541,-3.945,-3.310,-5.031,-1.563,1.044,4.015,-3.187,2.094,1.361,-0.829,-2.252,0.000,58.209,2.042,-0.814,33.075,-17.201
16339.595,272.745,0.209,24.711,63.722,62.860,-8.433,-3.456,-1.497,0.314,0.973,-3.841,-3.310,-4.068,-2.680,1.044,4.437,-3.399,1.675,1.047,-0.518,-2.477,0.000,58.132,2.113,-0.814,33.059,-17.179
