%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83307.817,300.124,0.967,25.149,305.809,302.984,-8.541,-2.899,-1.925,-0.209,0.865,-4.672,-4.485,-4.817,-3.014,0.209,3.593,-4.249,1.989,0.942,-0.622,-3.378,0.000,10.643,20.181,-0.516,27.907,-7.962
83303.785,300.120,0.967,25.153,305.888,303.144,-8.000,-1.784,-1.818,0.418,1.081,-4.464,-3.844,-4.389,-1.786,0.313,3.487,-3.187,0.942,0.837,-1.451,-2.703,0.000,10.663,20.191,-0.517,27.907,-8.005
83303.785,300.125,0.967,25.144,305.651,302.984,-8.216,-1.895,-1.176,-0.313,1.190,-3.633,-4.058,-4.282,-2.233,1.148,4.015,-3.612,2.094,0.105,-0.829,-2.365,0.000,10.682,20.201,-0.518,27.923,-7.973
83307.817,300.122,0.967,25.149,305.809,302.824,-8.649,-3.233,-1.497,-0.209,0.541,-4.152,-3.844,-5.674,-2.345,0.835,3.276,-3.824,2.304,0.942,-1.244,-2.252,0.000,10.663,20.201,-0.520,27.907,-7.973
83307.817,300.124,0.967,25.143,305.651,302.984,-7.135,-3.344,-0.855,0.314,0.433,-4.152,-4.165,-3.747,-2.456,0.940,3.910,-4.355,2.199,1.047,-0.829,-3.153,0.000,10.682,20.242,-0.522,27.923,-7.973
83307.817,300.125,0.967,25.143,305.651,302.984,-7.892,-2.118,-1.711,-0.000,1.298,-4.879,-3.524,-4.710,-2.121,0.626,3.910,-3.081,1.675,1.465,-1.348,-3.378,0.000,10.663,20.262,-0.523,27.907,-7.984
83307.817,300.125,0.967,25.146,305.730,302.984,-7.892,-2.007,-1.818,0.105,0.216,-4.152,-4.165,-4.817,-1.786,0.000,3.804,-3.293,2.199,0.523,-1.037,-2.590,0.000,10.682,20.303,-0.524,27.923,-7.984
83303.785,300.125,0.967,25.147,305.730,302.984,-8.216,-2.453,-1.497,-0.418,1.514,-3.322,-3.310,-4.496,-1.898,1.566,3.593,-2.974,2.304,0.523,-1.140,-2.477,0.000,10.720,20.303,-0.525,27.907,-7.973
83303.785,300.127,0.967,25.144,305.651,302.984,-7.243,-2.564,-1.497,0.105,0.324,-3.945,-3.417,-4.817,-2.567,0.418,3.698,-3.930,1.885,0.837,-1.762,-3.153,0.000,10.701,20.323,-0.526,27.891,-7.952
83311.848,300.125,0.967,25.139,305.572,302.984,-8.324,-3.233,-1.497,-0.104,0.973,-4.568,-4.058,-4.175,-2.902,0.835,4.121,-3.293,1.675,0.733,-0.933,-3.153,0.000,10.720,20.353,-0.528,27.907,-7.973
83303.785,300.127,0.967,25.140,305.572,302.984,-8.108,-2.341,-2.352,-0.522,0.757,-4.360,-3.951,-4.710,-2.344,-0.417,3.592,-3.824,1.256,0.628,-1.140,-2.815,0.000,10.720,20.343,-0.527,27.907,-7.973
83299.754,300.128,0.967,25.144,305.651,303.304,-8.216,-2.341,-1.283,-0.940,0.541,-4.256,-4.165,-4.817,-2.233,1.253,3.804,-4.037,2.199,0.105,-1.451,-2.365,0.000,10.740,20.374,-0.528,27.874,-7.973
83307.817,300.128,0.967,25.143,305.651,303.144,-8.000,-3.010,-0.962,0.105,0.757,-4.256,-4.058,-5.781,-2.567,1.044,3.804,-3.506,1.675,0.628,-1.658,-2.703,0.000,10.720,20.384,-0.529,27.923,-7.995
83303.785,300.127,0.967,25.140,305.572,302.984,-8.000,-3.679,-1.390,-0.000,0.541,-3.737,-3.631,-4.068,-1.786,1.148,4.226,-3.930,2.408,1.256,-1.348,-2.477,0.000,10.701,20.374,-0.528,27.874,-7.962
