%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
16569.377,272.764,0.212,24.638,64.231,62.966,-8.217,-2.453,-0.749,0.523,1.406,-4.049,-3.632,-4.497,-1.563,0.209,4.544,-2.869,2.094,0.523,-0.933,-1.802,0.000,-56.623,2.640,-1.211,23.001,-20.013
16569.377,272.764,0.212,24.623,64.152,63.126,-8.326,-2.230,-0.962,-0.104,1.190,-3.945,-3.098,-4.283,-2.122,1.357,3.910,-3.400,1.571,0.523,-0.622,-2.252,0.000,-56.546,2.599,-1.215,23.017,-19.992
16565.346,272.766,0.212,24.611,64.073,62.646,-7.569,-2.564,-0.749,0.418,0.433,-4.256,-3.098,-4.604,-2.122,0.731,4.861,-2.975,1.885,0.942,-0.933,-1.914,0.000,-56.431,2.579,-1.219,23.001,-20.002
16569.377,272.766,0.212,24.623,64.152,62.806,-7.569,-3.121,-0.642,0.627,0.865,-4.152,-3.205,-3.640,-2.233,1.357,4.544,-3.825,1.990,1.361,-0.415,-2.252,0.000,-56.411,2.548,-1.223,23.001,-20.002
16569.377,272.764,0.212,24.623,64.152,62.806,-7.893,-1.449,-1.497,0.941,1.406,-4.256,-2.564,-3.854,-0.670,0.731,4.755,-2.444,1.676,1.047,-0.311,-2.815,0.000,-56.257,2.518,-1.227,22.984,-20.002
16573.408,272.766,0.212,24.590,63.994,62.646,-7.677,-2.118,0.214,0.105,1.298,-3.945,-3.525,-3.854,-1.340,1.044,4.544,-3.081,2.827,0.942,-0.415,-2.140,0.000,-56.180,2.528,-1.230,23.017,-20.013
16569.377,272.764,0.212,24.623,64.152,62.646,-8.650,-2.564,-1.069,0.418,1.190,-4.049,-2.777,-4.390,-1.898,1.149,3.910,-2.975,1.780,1.152,-0.311,-2.477,0.000,-56.065,2.487,-1.233,23.033,-19.992
16565.346,272.764,0.212,24.595,63.994,62.806,-7.893,-2.787,-0.428,0.627,0.973,-4.153,-3.098,-3.854,-2.122,1.044,4.438,-3.825,2.304,1.256,-0.726,-2.815,0.000,-55.988,2.477,-1.238,23.017,-20.013
16573.408,272.764,0.212,24.605,64.073,62.806,-8.001,-2.230,-0.962,0.314,1.730,-4.361,-2.991,-4.069,-2.345,1.044,4.438,-2.444,1.885,1.152,0.104,-2.703,0.000,-55.892,2.437,-1.240,23.033,-19.992
16577.440,272.766,0.212,24.587,63.994,62.806,-8.109,-2.118,-1.283,0.418,1.298,-3.945,-3.311,-4.176,-1.786,0.000,4.227,-2.975,1.780,0.837,-1.244,-2.252,0.000,-55.815,2.426,-1.243,23.033,-19.981
