%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83299.754,299.214,0.970,15.009,109.239,107.275,-7.568,-3.010,-0.962,0.209,0.757,-3.633,-3.310,-3.961,-2.568,0.940,4.121,-4.249,2.408,1.151,-1.037,-2.365,0.000,72.643,50.176,-0.854,37.993,-15.055
83291.691,299.214,0.970,14.999,109.081,107.115,-7.784,-2.341,-1.604,0.105,1.081,-4.879,-3.524,-4.389,-2.345,0.522,3.381,-3.293,1.885,0.628,-1.140,-3.153,0.000,72.681,50.125,-0.855,38.009,-15.055
83299.754,299.213,0.970,14.998,109.081,107.275,-7.676,-2.341,-1.390,-0.209,0.541,-3.945,-4.271,-4.710,-2.010,-0.313,3.910,-2.868,1.989,0.209,-0.933,-2.252,0.000,72.681,50.064,-0.852,37.993,-15.066
83303.785,299.214,0.970,14.998,109.081,107.115,-8.541,-3.010,-1.497,-0.522,0.757,-3.737,-3.310,-4.496,-2.233,1.044,3.804,-3.718,2.304,0.523,-0.829,-2.590,0.000,72.739,50.013,-0.853,38.009,-15.055
83295.723,299.216,0.970,15.004,109.160,107.115,-7.676,-2.341,-1.176,0.523,0.541,-4.775,-3.524,-4.924,-2.121,0.940,4.015,-3.612,1.989,1.047,-1.140,-3.041,0.000,72.758,49.993,-0.853,37.993,-15.066
83299.754,299.213,0.970,14.998,109.081,107.115,-8.000,-3.233,-1.818,-0.104,1.190,-4.464,-3.738,-5.031,-2.680,0.522,3.910,-3.824,1.466,1.047,-0.726,-2.703,0.000,72.854,49.932,-0.853,38.009,-15.055
83295.723,299.214,0.970,14.993,109.002,107.115,-7.676,-2.453,-2.245,0.209,1.081,-4.152,-3.524,-4.710,-1.228,-0.104,3.593,-3.718,1.571,1.151,-1.244,-2.590,0.000,72.835,49.901,-0.852,38.009,-15.076
83295.723,299.214,0.970,14.998,109.081,107.115,-8.000,-2.787,-0.642,-0.940,1.081,-4.152,-4.165,-4.389,-2.010,1.357,3.804,-3.505,1.989,0.419,-1.244,-2.703,0.000,72.874,49.830,-0.852,38.009,-15.055
83291.691,299.214,0.970,15.004,109.160,107.436,-8.324,-2.787,-1.283,-0.000,0.541,-4.049,-3.524,-5.246,-2.009,0.940,3.276,-3.293,2.094,1.047,-1.451,-2.365,0.000,72.912,49.779,-0.852,37.960,-15.044
83295.723,299.213,0.970,14.998,109.081,107.275,-7.243,-3.456,-1.390,-0.522,0.757,-4.152,-3.097,-4.282,-2.233,0.626,4.121,-4.037,2.408,1.047,-0.518,-2.365,0.000,72.970,49.729,-0.851,38.009,-15.055
83291.691,299.213,0.970,14.999,109.081,106.955,-7.676,-2.118,-1.925,0.105,1.081,-4.775,-2.990,-4.282,-2.121,0.626,4.437,-3.293,1.885,1.047,-0.829,-3.266,0.000,72.989,49.668,-0.851,37.977,-15.055
83299.754,299.213,0.970,15.014,109.318,107.115,-7.460,-2.118,-1.069,-0.418,1.081,-3.426,-4.058,-4.710,-2.233,0.104,3.909,-3.399,2.094,0.942,-0.933,-2.365,0.000,73.047,49.627,-0.851,38.009,-15.066
83299.754,299.214,0.970,14.993,109.002,107.115,-8.865,-2.787,-1.283,-0.940,0.973,-4.152,-3.738,-4.817,-1.563,0.940,3.381,-3.506,2.304,0.733,-1.140,-2.590,0.000,73.066,49.586,-0.852,37.993,-15.055
83295.723,299.216,0.970,14.993,109.002,107.596,-7.676,-3.010,-1.390,-0.313,0.324,-3.426,-3.631,-4.817,-2.121,0.626,4.649,-3.718,1.780,1.047,-1.451,-2.928,0.000,73.143,49.546,-0.852,37.977,-15.066
83299.754,299.213,0.970,14.998,109.081,107.115,-7.784,-2.341,-1.604,0.105,1.298,-4.256,-3.310,-4.175,-2.679,1.044,3.909,-3.293,1.885,1.256,-0.933,-3.153,0.000,73.105,49.485,-0.851,37.977,-15.055
83299.754,299.213,0.970,15.004,109.160,107.436,-7.784,-2.676,-1.497,-0.104,1.190,-4.049,-3.738,-4.710,-1.674,-0.417,4.121,-3.187,1.675,0.942,-1.451,-2.027,0.000,73.162,49.434,-0.852,38.026,-15.066
83295.723,299.211,0.970,14.993,109.002,107.115,-7.460,-2.453,-0.855,-0.626,0.973,-4.152,-3.738,-4.710,-2.233,1.044,3.487,-3.718,2.304,0.628,-0.415,-2.477,0.000,73.201,49.363,-0.852,37.977,-15.055
83295.723,299.213,0.970,14.993,109.002,107.115,-7.460,-2.564,-0.748,0.105,0.541,-3.841,-3.844,-5.246,-1.898,0.522,4.226,-3.824,2.513,1.152,-1.451,-2.252,0.000,73.201,49.332,-0.852,38.009,-15.055
