"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
0,-37.9234505138249
0.00666666666666667,-38.4717200975176
0.0133333333333333,-39.0177139263587
0.02,-39.5558838139548
0.0266666666666667,-40.0806714594335
0.0333333333333333,-40.5865726214636
0.04,-41.0682038751954
0.0466666666666667,-41.5203707886511
0.0533333333333333,-41.938136237889
0.06,-42.3168875025467
0.0666666666666667,-42.6524007484013
0.0733333333333333,-42.9409015127213
0.08,-43.1791198608841
0.0866666666666667,-43.3643389768147
0.0933333333333333,-43.4944360816732
0.1,-43.5679147402033
0.106666666666667,-43.5839278067433
0.113333333333333,-43.5422904770613
0.12,-43.4434831414874
0.126666666666667,-43.2886439726949
0.133333333333333,-43.0795514212205
0.14,-42.818597026706
0.146666666666667,-42.5087491762226
0.153333333333333,-42.1535086463737
0.16,-41.7568569469074
0.166666666666667,-41.3231986344565
0.173333333333333,-40.8572988806096
0.18,-40.3642176545572
0.186666666666667,-39.8492419140519
0.193333333333333,-39.3178171879035
0.2,-38.7754798789615
0.206666666666667,-38.2277915207337
0.213333333333333,-37.6802760875882
0.22,-37.1383612938672
0.226666666666666,-36.6073246287262
0.233333333333333,-36.0922446699484
0.24,-35.5979580103797
0.246666666666666,-35.1290219250565
0.253333333333333,-34.6896827137806
0.26,-34.283849481397
0.266666666666666,-33.9150729725152
0.273333333333333,-33.5865289638345
0.28,-33.3010056384925
0.286666666666666,-33.060894324091
0.293333333333333,-32.8681829686648
0.3,-32.7244517547853
0.306666666666666,-32.6308703079663
0.313333333333333,-32.588196037391
0.32,-32.5967732498799
0.326666666666666,-32.6565327967393
0.333333333333333,-32.7669921421827
0.34,-32.9272558757801
0.346666666666666,-33.1360168242146
0.353333333333333,-33.3915580438355
0.36,-33.6917560895325
0.366666666666666,-34.0340860518805
0.373333333333333,-34.4156289282105
0.38,-34.8330819396141
0.386666666666666,-35.2827724209838
0.393333333333333,-35.7606758921291
0.4,-36.2624388631993
0.406666666666666,-36.7834068370364
0.413333333333333,-37.3186578463992
0.419999999999999,-37.8630417088317
0.426666666666666,-38.4112250016771
0.433333333333333,-38.9577415614222
0.439999999999999,-39.4970481035132
0.446666666666666,-40.0235843502407
0.453333333333333,-40.5318368546596
0.459999999999999,-41.0164055271185
0.466666666666666,-41.4720717160624
0.473333333333333,-41.8938665735118
0.479999999999999,-42.2771383533437
0.486666666666666,-42.6176172507148
0.493333333333333,-42.9114763952288
0.499999999999999,-43.1553876584227
0.506666666666666,-43.3465710258134
0.513333333333333,-43.482836411661
0.519999999999999,-43.5626169561922
0.526666666666666,-43.5849930348602
0.533333333333333,-43.5497064213035
0.54,-43.4571642736313
0.546666666666666,-43.3084328509195
0.553333333333333,-43.1052211066679
0.56,-42.8498545417228
0.566666666666666,-42.5452399241421
0.573333333333333,-42.1948216911234
0.58,-41.8025310321219
0.586666666666667,-41.3727288067745
0.593333333333333,-40.9101435709482
0.6,-40.4198060648125
0.606666666666667,-39.9069815551278
0.613333333333333,-39.3771014182975
0.62,-38.8356953012228
0.626666666666667,-38.2883251056095
0.633333333333334,-37.7405219120392
0.64,-37.1977267986174
0.646666666666667,-36.6652363227466
0.653333333333334,-36.1481532321433
0.66,-35.6513427619478
0.666666666666667,-35.1793946681465
0.673333333333334,-34.7365909525593
0.68,-34.3268790594476
0.686666666666667,-33.9538501750514
0.693333333333334,-33.6207221440737
0.700000000000001,-33.3303264344629
0.706666666666667,-33.0850985351065
0.713333333333334,-32.8870711598294
0.720000000000001,-32.7378696534876
0.726666666666667,-32.6387090487938
0.733333333333334,-32.5903923017345
0.740000000000001,-32.5933093342685
0.746666666666668,-32.6474366302378
0.753333333333334,-32.7523372586042
0.760000000000001,-32.9071613316515
0.766666666666668,-33.1106470389928
0.773333333333334,-33.3611225254439
0.780000000000001,-33.6565089964689
0.786666666666668,-33.9943255335321
0.793333333333335,-34.3716961781431
0.800000000000001,-34.7853598929559
0.806666666666668,-35.2316840269938
0.813333333333335,-35.7066818968824
0.820000000000001,-36.2060350451411
0.826666666666668,-36.7251206498747
0.833333333333335,-37.2590444391457
0.840000000000002,-37.8026793112675
0.846666666666668,-38.3507096844438
0.853333333333335,-38.8976814024585
0.860000000000002,-39.4380568157202
0.866666666666668,-39.9662744479977
0.873333333333335,-40.4768124581227
0.880000000000002,-40.9642549220833
0.886666666666668,-41.4233598027383
0.893333333333335,-41.8491273491044
0.900000000000002,-42.2368675803813
0.906666666666669,-42.5822654652958
0.913333333333335,-42.8814424067299
0.920000000000002,-43.1310126848169
0.926666666666669,-43.3281335968982
0.933333333333335,-43.47054815664
0.940000000000002,-43.5566193727252
0.946666666666669,-43.5853553145463
0.953333333333336,-43.5564243822554
0.960000000000002,-43.4701604250657
0.966666666666669,-43.3275575882537
0.973333333333336,-43.130255009223
0.980000000000002,-42.8805117195233
0.986666666666669,-42.5811723362086
0.993333333333336,-42.2356243357869
1,-41.8477478909307
1.00666666666667,-41.4218594081302
1.01333333333334,-40.9626500282526
1.02,-40.4751204370403
1.02666666666667,-39.9645133756581
1.03333333333334,-39.4362452406288
1.04,-38.8958381177701
1.04666666666667,-38.3488535078169
1.05333333333334,-37.8008288760152
1.06,-37.2572179996856
1.06666666666667,-36.7233359038155
1.07333333333334,-36.2043089736524
1.08,-35.7050306242768
1.08666666666667,-35.2301226997684
1.09333333333333,-34.7839025778973
1.1,-34.3703557785417
1.10666666666667,-33.9931137220846
1.11333333333333,-33.6554361630971
1.12,-33.3601977380241
1.12666666666667,-33.1098780148788
1.13333333333333,-32.9065544178832
1.14,-32.751897418809
1.14666666666667,-32.6471674364513
1.15333333333333,-32.5932129621965
1.16,-32.5904695283476
1.16666666666667,-32.6389592515573
1.17333333333333,-32.7382908109745
1.18,-32.8876598539198
1.18666666666667,-33.08584995542
1.19333333333333,-33.3312343860923
1.2,-33.621779060058
1.20666666666667,-33.9550471353345
1.21333333333333,-34.3282058182938
1.22,-34.7380359765284
1.22666666666667,-35.1809451867489
1.23333333333333,-35.6529848330028
1.24,-36.1498718236466
1.24666666666667,-36.6670154127105
1.25333333333333,-37.199549493895
1.26,-37.7423705865947
1.26666666666667,-38.290181558061
1.27333333333333,-38.8375409308057
1.28,-39.3789174176818
1.28666666666667,-39.9087491178241
1.29333333333333,-40.421506604237
1.3,-40.911758947625
1.30666666666667,-41.3742415596573
1.31333333333333,-41.8039246096403
1.32,-42.1960806773218
1.32666666666667,-42.5463502551824
1.33333333333333,-42.8508037080791
1.34,-43.105998336546
1.34666666666667,-43.3090292707726
1.35333333333333,-43.4575730421119
1.36,-43.5499228335676
1.36666666666667,-43.5850145948051
1.37333333333333,-43.562443414947
1.38,-43.48246977143
1.38666666666667,-43.3460155089843
1.39333333333333,-43.1546496426592
1.4,-42.9105643160608
