"Hole Angular Displacement"
"Time (sec)","Angular Displacement1 (deg)"
0,-1.40383781493394e-14
0.00666666666666667,-3.64071333333335
0.0133333333333333,-7.28142666666668
0.02,-10.92214
0.0266666666666667,-14.5628533333334
0.0333333333333333,-18.2035666666667
0.04,-21.84428
0.0466666666666667,-25.4849933333334
0.0533333333333333,-29.1257066666667
0.06,-32.76642
0.0666666666666667,-36.4071333333333
0.0733333333333333,-40.0478466666667
0.08,-43.68856
0.0866666666666667,-47.3292733333334
0.0933333333333333,-50.9699866666667
0.1,-54.6107
0.106666666666667,-58.2514133333334
0.113333333333333,-61.8921266666667
0.12,-65.53284
0.126666666666667,-69.1735533333334
0.133333333333333,-72.8142666666667
0.14,-76.45498
0.146666666666667,-80.0956933333334
0.153333333333333,-83.7364066666667
0.16,-87.37712
0.166666666666667,-91.0178333333333
0.173333333333333,-94.6585466666667
0.18,-98.29926
0.186666666666667,-101.939973333333
0.193333333333333,-105.580686666667
0.2,-109.2214
0.206666666666667,-112.862113333333
0.213333333333333,-116.502826666667
0.22,-120.14354
0.226666666666666,-123.784253333333
0.233333333333333,-127.424966666667
0.24,-131.06568
0.246666666666666,-134.706393333333
0.253333333333333,-138.347106666667
0.26,-141.98782
0.266666666666666,-145.628533333333
0.273333333333333,-149.269246666667
0.28,-152.90996
0.286666666666666,-156.550673333333
0.293333333333333,-160.191386666666
0.3,-163.8321
0.306666666666666,-167.472813333333
0.313333333333333,-171.113526666666
0.32,-174.75424
0.326666666666666,-178.394953333333
0.333333333333333,177.964333333334
0.34,174.32362
0.346666666666666,170.682906666667
0.353333333333333,167.042193333334
0.36,163.40148
0.366666666666666,159.760766666667
0.373333333333333,156.120053333334
0.38,152.47934
0.386666666666666,148.838626666667
0.393333333333333,145.197913333334
0.4,141.5572
0.406666666666666,137.916486666667
0.413333333333333,134.275773333334
0.419999999999999,130.63506
0.426666666666666,126.994346666667
0.433333333333333,123.353633333334
0.439999999999999,119.71292
0.446666666666666,116.072206666667
0.453333333333333,112.431493333334
0.459999999999999,108.79078
0.466666666666666,105.150066666667
0.473333333333333,101.509353333334
0.479999999999999,97.8686400000002
0.486666666666666,94.2279266666668
0.493333333333333,90.5872133333335
0.499999999999999,86.9465000000001
0.506666666666666,83.3057866666668
0.513333333333333,79.6650733333335
0.519999999999999,76.0243600000001
0.526666666666666,72.3836466666667
0.533333333333333,68.7429333333334
0.54,65.10222
0.546666666666666,61.4615066666667
0.553333333333333,57.8207933333334
0.56,54.18008
0.566666666666666,50.5393666666667
0.573333333333333,46.8986533333333
0.58,43.25794
0.586666666666667,39.6172266666666
0.593333333333333,35.9765133333333
0.6,32.3357999999999
0.606666666666667,28.6950866666666
0.613333333333333,25.0543733333332
0.62,21.4136599999999
0.626666666666667,17.7729466666665
0.633333333333334,14.1322333333332
0.64,10.4915199999998
0.646666666666667,6.85080666666648
0.653333333333334,3.21009333333313
0.66,-0.430620000000222
0.666666666666667,-4.07133333333357
0.673333333333334,-7.71204666666692
0.68,-11.3527600000003
0.686666666666667,-14.9934733333336
0.693333333333334,-18.634186666667
0.700000000000001,-22.2749000000003
0.706666666666667,-25.9156133333337
0.713333333333334,-29.556326666667
0.720000000000001,-33.1970400000004
0.726666666666667,-36.8377533333337
0.733333333333334,-40.4784666666671
0.740000000000001,-44.1191800000004
0.746666666666668,-47.7598933333338
0.753333333333334,-51.4006066666671
0.760000000000001,-55.0413200000005
0.766666666666668,-58.6820333333338
0.773333333333334,-62.3227466666671
0.780000000000001,-65.9634600000005
0.786666666666668,-69.6041733333338
0.793333333333335,-73.2448866666672
0.800000000000001,-76.8856000000006
0.806666666666668,-80.5263133333339
0.813333333333335,-84.1670266666672
0.820000000000001,-87.8077400000006
0.826666666666668,-91.4484533333339
0.833333333333335,-95.0891666666673
0.840000000000002,-98.7298800000006
0.846666666666668,-102.370593333334
0.853333333333335,-106.011306666667
0.860000000000002,-109.652020000001
0.866666666666668,-113.292733333334
0.873333333333335,-116.933446666667
0.880000000000002,-120.574160000001
0.886666666666668,-124.214873333334
0.893333333333335,-127.855586666667
0.900000000000002,-131.496300000001
0.906666666666669,-135.137013333335
0.913333333333335,-138.777726666668
0.920000000000002,-142.418440000001
0.926666666666669,-146.059153333335
0.933333333333335,-149.699866666668
0.940000000000002,-153.340580000001
0.946666666666669,-156.981293333335
0.953333333333336,-160.622006666668
0.960000000000002,-164.262720000002
0.966666666666669,-167.903433333335
0.973333333333336,-171.544146666668
0.980000000000002,-175.184860000002
0.986666666666669,-178.825573333335
0.993333333333336,177.533713333332
1,173.892999999998
1.00666666666667,170.252286666665
1.01333333333334,166.611573333332
1.02,162.970859999998
1.02666666666667,159.330146666665
1.03333333333334,155.689433333332
1.04,152.048719999998
1.04666666666667,148.408006666665
1.05333333333334,144.767293333332
1.06,141.126579999998
1.06666666666667,137.485866666665
1.07333333333334,133.845153333332
1.08,130.204439999999
1.08666666666667,126.563726666665
1.09333333333333,122.923013333332
1.1,119.282299999999
1.10666666666667,115.641586666665
1.11333333333333,112.000873333332
1.12,108.360159999999
1.12666666666667,104.719446666665
1.13333333333333,101.078733333332
1.14,97.4380199999986
1.14666666666667,93.7973066666653
1.15333333333333,90.1565933333326
1.16,86.5158799999992
1.16666666666667,82.875166666666
1.17333333333333,79.2344533333328
1.18,75.5937399999998
1.18666666666667,71.953026666666
1.19333333333333,68.3123133333327
1.2,64.6715999999997
1.20666666666667,61.0308866666661
1.21333333333333,57.3901733333328
1.22,53.74946
1.22666666666667,50.1087466666662
1.23333333333333,46.4680333333329
