%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82384.628,299.535,0.958,14.896,106.309,74.838,-7.243,-2.787,-1.176,0.418,1.298,-3.944,-3.204,-3.64,-2.233,0.94,4.121,-4.037,2.827,1.78,-0.726,-2.365,0,51.521,19.055,-1.522,59.444,-10.066
82388.659,299.532,0.958,14.896,106.309,74.518,-7.46,-1.672,-1.925,-0.104,1.19,-3.944,-3.524,-4.389,-1.675,1.148,4.121,-2.974,1.78,0.942,-0.726,-2.702,0,51.463,19.096,-1.525,59.477,-10.055
82384.628,299.533,0.958,14.885,106.151,74.998,-7.135,-2.118,-0.642,-0.209,0.865,-3.737,-4.485,-4.389,-1.451,0.835,3.804,-2.974,2.513,0.837,-0.726,-2.139,0,51.482,19.137,-1.529,59.461,-10.055
82384.628,299.533,0.958,14.891,106.23,74.678,-8.325,-2.564,-0.748,-0.209,0.865,-4.152,-3.31,-4.71,-2.68,1.148,3.275,-3.612,2.722,0.837,-0.829,-2.365,0,51.444,19.167,-1.534,59.444,-10.034
82380.596,299.532,0.958,14.891,106.23,74.998,-7.46,-3.79,-1.604,-0.313,0.757,-4.463,-3.844,-4.496,-2.121,0.522,4.015,-4.462,1.989,1.465,-0.518,-3.265,0,51.425,19.208,-1.54,59.477,-10.066
82384.628,299.533,0.958,14.885,106.151,75.159,-7.676,-2.118,-1.604,0,0.757,-4.671,-3.417,-4.71,-2.121,0.626,4.226,-3.506,1.885,1.361,-1.037,-3.378,0,51.405,19.238,-1.543,59.444,-10.055
82384.628,299.533,0.958,14.885,106.151,74.838,-8.216,-2.341,-1.283,-0.209,0.973,-3.737,-4.699,-4.817,-2.456,0,3.909,-3.824,2.513,0.942,-1.348,-2.59,0,51.386,19.279,-1.547,59.444,-10.044
82384.628,299.533,0.958,14.891,106.23,74.998,-8.541,-2.341,-0.962,-0.522,1.19,-4.048,-3.204,-4.496,-1.898,1.357,3.381,-3.293,2.199,1.151,-0.622,-2.477,0,51.405,19.33,-1.553,59.444,-10.055
82380.596,299.533,0.958,14.88,106.072,75.159,-6.811,-3.121,-1.069,-0.209,0.216,-4.463,-3.951,-4.496,-2.456,1.357,4.438,-4.037,2.408,1.256,-1.451,-2.59,0,51.405,19.391,-1.558,59.428,-10.077
82384.628,299.533,0.958,14.885,106.151,75.159,-7.568,-3.121,-1.283,-0.104,1.622,-4.567,-3.31,-4.389,-2.344,0.731,4.226,-2.974,2.199,1.465,-0.622,-3.716,0,51.367,19.421,-1.562,59.444,-10.044
82380.596,299.532,0.958,14.886,106.151,75.319,-7.892,-2.006,-1.069,0.314,0.865,-3.944,-3.524,-4.71,-1.563,0,3.909,-3.506,1.989,1.151,-0.726,-2.477,0,51.367,19.472,-1.566,59.444,-10.044
82384.628,299.533,0.958,14.885,106.151,75.479,-7.784,-2.898,-0.855,-1.044,0.973,-3.944,-3.417,-4.389,-1.786,0.835,3.487,-3.611,2.408,0.419,-0.518,-2.365,0,51.405,19.513,-1.57,59.461,-10.055
82384.628,299.533,0.958,14.891,106.23,74.998,-7.135,-3.121,-0.962,0.941,0,-3.944,-3.417,-5.031,-1.674,1.461,3.698,-3.293,2.199,1.361,-1.555,-2.365,0,51.386,19.584,-1.574,59.412,-10.066
82388.659,299.533,0.958,14.879,106.072,75.159,-7.243,-2.787,-1.39,-0.209,1.406,-4.256,-3.31,-4.175,-3.126,0.522,3.698,-3.93,2.304,0.942,-0.622,-2.815,0,51.386,19.614,-1.579,59.428,-10.055
82388.659,299.533,0.958,14.885,106.151,75.159,-8,-2.341,-2.245,0,1.19,-4.463,-3.951,-4.068,-1.563,0.104,3.804,-3.611,1.571,1.361,-1.14,-2.59,0,51.386,19.665,-1.583,59.493,-10.066
82384.628,299.53,0.958,14.891,106.23,74.998,-7.568,-2.675,-1.176,-0.313,1.081,-4.256,-3.844,-4.496,-2.233,1.148,4.121,-3.611,2.618,0.523,-0.829,-2.365,0,51.386,19.716,-1.586,59.444,-10.066
82380.596,299.53,0.958,14.886,106.151,75.479,-7.784,-2.675,-1.069,0.209,1.298,-4.048,-3.524,-5.139,-1.786,1.253,3.909,-3.293,2.827,1.78,-1.14,-2.59,0,51.405,19.787,-1.591,59.461,-10.055
82384.628,299.529,0.958,14.885,106.151,75.319,-6.919,-3.345,-1.283,0.418,0.973,-4.048,-2.883,-4.068,-2.009,0.94,4.121,-3.505,2.618,1.675,-0.829,-2.815,0,51.425,19.828,-1.594,59.461,-10.066
82380.596,299.532,0.958,14.88,106.072,74.998,-7.676,-2.007,-1.497,-0.104,1.298,-4.567,-3.097,-3.961,-1.674,0.835,3.592,-2.974,1.885,0.837,-0.726,-2.815,0,51.463,19.889,-1.596,59.477,-10.055
82380.596,299.53,0.958,14.874,105.993,75.319,-7.46,-1.672,-0.962,-0.104,0.865,-3.633,-3.844,-4.282,-1.563,0.522,3.804,-3.399,1.99,0.628,-1.14,-2.815,0,51.463,19.919,-1.599,59.444,-10.066
82376.565,299.53,0.958,14.886,106.151,75.479,-8.108,-2.118,-1.283,0,0.865,-4.048,-3.524,-4.71,-2.567,1.044,3.17,-3.611,2.094,1.465,-0.726,-2.139,0,51.463,19.98,-1.602,59.477,-10.044
82384.628,299.529,0.958,14.891,106.23,75.159,-7.352,-3.01,-1.176,-0.313,0.433,-3.737,-4.058,-4.496,-2.121,0.626,4.015,-3.824,2.408,1.361,-0.829,-2.59,0,51.463,20.011,-1.605,59.428,-10.044
82380.596,299.532,0.958,14.891,106.23,75.319,-8,-2.007,-1.497,0,1.081,-4.878,-3.738,-4.603,-1.898,0.731,4.121,-2.974,2.408,0.942,-0.622,-3.603,0,51.559,20.051,-1.606,59.461,-10.066
82376.565,299.532,0.958,14.88,106.072,75.319,-7.135,-2.787,-1.39,0.314,0.865,-3.841,-3.951,-4.175,-2.233,0,4.332,-2.974,2.408,1.047,-1.348,-2.252,0,51.579,20.082,-1.608,59.461,-10.034
82376.565,299.53,0.958,14.886,106.151,75.319,-8.325,-2.453,-0.855,-0.94,0.649,-4.359,-3.524,-4.924,-2.009,1.253,3.487,-3.186,1.99,0.314,-1.14,-2.928,0,51.579,20.133,-1.61,59.444,-10.023
82372.534,299.53,0.958,14.881,106.072,75.159,-7.568,-2.676,-0.214,0.418,0.649,-3.633,-3.631,-4.389,-1.34,1.253,4.226,-3.824,1.99,1.78,-1.037,-2.59,0,51.636,20.163,-1.611,59.444,-10.055
82376.565,299.53,0.958,14.886,106.151,75.639,-7.46,-2.899,-1.497,0,0.541,-4.256,-3.524,-4.282,-2.567,0.835,3.804,-3.293,2.199,0.942,-0.622,-3.04,0,51.752,20.204,-1.611,59.444,-10.044
82384.628,299.529,0.958,14.88,106.072,75.319,-7.352,-1.895,-1.497,0.105,1.298,-3.944,-3.844,-4.389,-1.451,0.522,3.909,-3.611,1.78,1.256,-0.311,-2.477,0,51.752,20.265,-1.614,59.444,-10.055
82380.596,299.529,0.958,14.891,106.23,75.479,-7.352,-2.118,-0.855,-0.418,0.757,-3.425,-3.631,-5.032,-1.674,0.835,3.698,-3.717,2.199,0,-1.451,-2.702,0,51.848,20.275,-1.614,59.461,-10.066
