%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82836.144,299.949,0.962,14.962,107.693,106.127,-8.542,-2.787,-2.032,-1.149,0.433,-4.777,-4.807,-5.460,-2.568,-0.313,2.959,-4.143,2.199,-0.209,-1.762,-3.379,0.000,32.058,-1.948,0.787,60.136,-25.006
82832.112,299.951,0.962,14.968,107.773,106.287,-9.082,-3.122,-2.032,-0.940,0.433,-4.777,-3.952,-5.139,-3.014,0.731,2.325,-4.462,1.361,0.000,-1.658,-2.590,0.000,32.077,-1.948,0.785,60.136,-24.996
82836.144,299.951,0.962,14.957,107.614,106.287,-8.109,-3.791,-2.246,-0.418,-0.324,-4.673,-4.379,-5.353,-3.461,-0.313,3.487,-4.887,1.257,0.105,-1.969,-3.379,0.000,32.115,-1.979,0.782,60.136,-25.006
82840.175,299.951,0.962,14.968,107.773,105.967,-8.434,-2.899,-1.925,-0.418,0.324,-5.296,-4.700,-5.139,-3.461,-0.000,3.276,-4.037,1.361,0.733,-1.451,-3.604,0.000,32.154,-2.009,0.782,60.136,-25.017
82836.144,299.951,0.962,14.957,107.614,106.447,-8.325,-3.233,-2.887,-0.731,0.216,-5.088,-4.593,-5.674,-2.121,-0.730,3.276,-4.462,0.838,0.942,-1.244,-3.379,0.000,32.135,-2.030,0.780,60.119,-24.996
82840.175,299.951,0.962,14.973,107.852,106.287,-8.866,-2.787,-1.711,-1.044,-0.324,-4.673,-4.486,-4.925,-2.791,0.209,3.381,-4.037,1.675,-0.105,-1.866,-3.041,0.000,32.192,-2.050,0.777,60.136,-24.996
82832.112,299.954,0.962,14.963,107.693,106.447,-9.299,-3.568,-1.711,-0.627,0.433,-4.257,-4.166,-5.782,-3.461,-0.000,2.642,-4.568,1.466,0.314,-1.866,-3.379,0.000,32.269,-2.091,0.775,60.136,-24.996
82832.112,299.953,0.962,14.968,107.773,106.447,-8.758,-3.679,-2.673,-0.731,-0.432,-5.192,-4.273,-5.246,-3.349,-0.313,3.381,-4.993,1.361,-0.105,-2.177,-3.041,0.000,32.289,-2.111,0.774,60.136,-25.006
82832.112,299.951,0.962,14.968,107.773,106.447,-8.542,-3.010,-2.246,-0.522,-0.000,-5.400,-4.059,-5.032,-3.684,-0.208,2.959,-4.462,1.466,-0.314,-1.866,-3.829,0.000,32.327,-2.162,0.773,60.136,-25.006
82832.112,299.953,0.962,14.963,107.693,106.607,-8.758,-3.233,-2.780,-1.253,0.216,-4.984,-4.486,-5.032,-2.345,-0.938,2.747,-4.143,1.047,0.105,-1.762,-3.154,0.000,32.366,-2.192,0.771,60.136,-25.006
