%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83001.431,300.380,0.963,25.005,300.931,299.821,-8.541,-2.787,-1.497,0.105,0.324,-3.530,-3.204,-4.496,-2.345,1.253,3.487,-2.868,2.513,1.779,-0.622,-2.140,0.000,69.834,-45.501,0.509,120.289,-39.993
83001.431,300.380,0.963,25.008,301.010,299.981,-6.811,-3.010,-1.497,0.209,0.324,-3.633,-3.524,-4.496,-2.233,0.940,3.910,-4.674,2.408,0.942,-1.866,-2.477,0.000,69.795,-45.491,0.510,120.273,-39.993
83005.462,300.383,0.963,25.007,301.010,299.661,-7.568,-2.899,-1.818,-0.209,1.081,-4.568,-3.844,-4.603,-2.568,0.731,4.121,-2.762,3.455,1.151,-0.207,-3.041,0.000,69.737,-45.460,0.509,120.273,-40.004
83005.462,300.380,0.963,25.001,300.852,299.661,-6.703,-1.561,-0.748,0.209,1.190,-3.114,-3.417,-4.068,-1.786,0.000,4.015,-3.718,2.408,1.256,-0.726,-1.802,0.000,69.737,-45.491,0.509,120.289,-39.993
83001.431,300.382,0.963,25.001,300.852,299.981,-7.135,-2.118,-0.428,-0.104,1.622,-3.737,-3.204,-4.068,-1.005,0.940,3.698,-3.612,3.246,0.523,-0.518,-2.590,0.000,69.718,-45.481,0.508,120.273,-39.993
83005.462,300.380,0.963,25.001,300.852,299.501,-7.784,-2.676,-1.604,-0.209,0.108,-4.049,-4.165,-5.353,-2.233,1.148,3.593,-3.930,2.304,1.256,-1.658,-2.815,0.000,69.699,-45.450,0.509,120.273,-39.993
83005.462,300.378,0.963,25.001,300.852,299.661,-7.027,-2.787,-1.711,0.209,1.081,-4.464,-3.524,-4.175,-3.126,0.418,3.593,-3.824,2.513,1.675,-1.037,-3.378,0.000,69.641,-45.450,0.509,120.289,-39.983
82997.399,300.382,0.963,25.005,300.931,299.821,-7.460,-2.676,-2.031,-0.313,0.865,-4.464,-4.271,-4.282,-2.010,0.209,3.381,-3.930,1.466,0.837,-1.451,-3.153,0.000,69.680,-45.440,0.506,120.273,-39.993
82997.399,300.380,0.963,25.002,300.852,299.821,-7.351,-2.230,-1.390,-0.940,0.757,-4.256,-5.019,-4.282,-2.345,0.104,3.064,-3.930,3.036,0.837,-1.658,-3.041,0.000,69.660,-45.440,0.506,120.273,-39.993
83005.462,300.382,0.963,25.001,300.852,300.142,-8.757,-2.899,-1.390,-0.522,0.541,-4.049,-3.844,-5.353,-2.345,0.418,2.853,-4.037,2.094,0.837,-1.451,-2.815,0.000,69.622,-45.440,0.505,120.289,-40.015
82997.399,300.378,0.963,25.005,300.931,300.142,-7.135,-3.122,-1.283,0.209,0.541,-3.841,-3.631,-4.389,-1.786,0.940,4.015,-3.612,2.618,1.989,-1.140,-2.590,0.000,69.603,-45.440,0.504,120.306,-40.004
83001.431,300.378,0.963,24.995,300.694,299.981,-7.460,-2.676,-1.711,-0.313,1.406,-4.775,-3.844,-4.817,-3.014,0.522,3.064,-4.249,1.989,1.361,-1.866,-3.941,0.000,69.622,-45.450,0.502,120.289,-40.015
83001.431,300.380,0.963,24.995,300.694,299.981,-8.000,-2.453,-1.390,-0.835,0.433,-3.945,-4.165,-4.817,-2.010,0.104,3.804,-3.824,2.094,0.837,-1.555,-2.365,0.000,69.622,-45.440,0.501,120.306,-39.993
83001.431,300.378,0.963,24.998,300.773,299.821,-8.000,-2.564,-1.390,-0.940,0.757,-3.841,-4.058,-5.246,-2.568,0.731,3.170,-3.718,2.304,0.419,-0.829,-2.815,0.000,69.622,-45.440,0.500,120.306,-40.004
83009.494,300.378,0.963,24.997,300.773,300.142,-6.919,-2.564,-0.855,0.418,0.649,-3.426,-3.204,-4.817,-1.898,1.044,4.226,-3.506,2.408,1.675,-1.969,-2.590,0.000,69.641,-45.460,0.498,120.289,-40.004
83009.494,300.377,0.963,24.997,300.773,300.462,-7.027,-3.122,-1.390,-0.104,1.514,-4.152,-3.310,-4.710,-3.014,0.940,3.381,-4.037,2.199,1.151,-0.518,-3.153,0.000,69.622,-45.470,0.496,120.289,-39.993
83009.494,300.378,0.963,24.993,300.694,300.302,-7.351,-2.230,-2.138,-0.313,1.514,-4.568,-4.165,-5.246,-1.786,0.940,3.487,-3.612,1.466,1.256,-1.451,-2.927,0.000,69.660,-45.481,0.495,120.289,-40.004
