%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82791.798,300.748,0.959,25.079,301.594,301.185,-10.162,-4.348,-2.246,-1.671,-0.324,-5.710,-4.593,-5.567,-3.908,0.209,1.796,-4.462,1.152,-0.627,-1.866,-3.491,0.000,84.836,2.456,-0.735,120.038,-40.044
82787.767,300.746,0.959,25.073,301.436,301.345,-9.081,-3.902,-2.673,-0.522,-1.080,-5.191,-4.486,-5.139,-3.014,-0.417,3.170,-4.250,0.628,-0.314,-2.902,-3.716,0.000,84.913,2.517,-0.736,120.021,-40.034
82795.830,300.744,0.959,25.075,301.515,301.185,-9.297,-3.456,-2.353,-0.731,0.324,-5.813,-4.059,-5.139,-4.019,-0.417,2.959,-4.356,1.256,0.105,-1.348,-3.941,0.000,84.990,2.608,-0.737,120.038,-40.055
82795.830,300.743,0.959,25.072,301.436,301.025,-9.081,-3.344,-2.994,-1.044,-0.108,-5.191,-4.700,-5.032,-2.121,-0.417,2.853,-4.356,0.733,-0.314,-1.658,-3.716,0.000,85.067,2.649,-0.737,120.038,-40.023
82799.861,300.748,0.959,25.068,301.357,301.185,-9.297,-3.344,-1.711,-1.148,-0.216,-4.983,-4.807,-4.711,-3.126,-0.521,2.747,-4.143,1.361,-0.836,-1.451,-3.604,0.000,85.125,2.741,-0.739,120.038,-40.012
82795.830,300.746,0.959,25.062,301.199,301.185,-8.973,-3.902,-2.139,-0.835,-0.324,-5.294,-4.486,-5.675,-3.461,-0.313,3.064,-4.037,1.571,0.523,-1.866,-3.266,0.000,85.182,2.812,-0.741,120.054,-40.023
82799.861,300.748,0.959,25.065,301.278,301.185,-9.081,-4.013,-1.925,-0.835,0.325,-5.191,-4.380,-4.176,-3.461,-0.104,3.698,-4.781,1.675,0.838,-1.451,-3.491,0.000,85.259,2.893,-0.743,120.038,-40.044
82791.798,300.744,0.959,25.069,301.357,301.185,-9.622,-3.121,-2.459,-1.148,0.108,-6.229,-4.700,-5.460,-4.131,-1.042,3.064,-4.462,0.524,0.000,-1.762,-4.054,0.000,85.336,2.974,-0.746,120.021,-40.034
82787.767,300.744,0.959,25.070,301.357,300.865,-9.189,-3.233,-2.566,-1.357,0.216,-4.775,-5.234,-4.497,-2.679,-0.938,2.853,-3.931,1.780,0.105,-1.762,-3.153,0.000,85.375,3.056,-0.747,120.038,-40.044
82795.830,300.744,0.959,25.065,301.278,301.025,-9.730,-3.344,-2.139,-1.253,0.108,-5.087,-4.166,-5.353,-3.238,0.209,3.276,-3.718,1.256,0.314,-1.140,-3.153,0.000,85.452,3.147,-0.748,120.038,-40.023
82791.798,300.746,0.959,25.063,301.199,300.705,-8.649,-4.013,-2.353,-0.209,-0.864,-5.191,-4.700,-5.567,-3.349,-0.000,2.958,-4.675,0.733,0.105,-2.384,-3.829,0.000,85.471,3.208,-0.751,120.054,-40.012
82795.830,300.746,0.959,25.059,301.120,300.865,-9.405,-4.013,-2.673,-1.148,0.649,-6.125,-4.700,-5.139,-3.238,0.522,3.486,-4.037,1.361,0.628,-1.555,-4.054,0.000,85.567,3.279,-0.752,120.054,-40.044
82795.830,300.746,0.959,25.065,301.278,300.865,-9.189,-3.233,-2.780,-0.209,0.216,-5.191,-4.593,-5.032,-2.679,-0.938,3.064,-4.037,0.628,0.000,-1.658,-3.829,0.000,85.567,3.340,-0.753,120.021,-40.034
82799.861,300.744,0.959,25.061,301.199,300.865,-9.081,-3.679,-2.032,-1.357,-0.108,-5.502,-4.914,-5.139,-2.903,0.209,3.170,-4.355,0.733,-1.045,-2.177,-3.378,0.000,85.644,3.401,-0.755,120.021,-40.034
82799.861,300.746,0.959,25.065,301.278,300.705,-9.297,-3.679,-2.780,-0.835,0.000,-5.813,-4.593,-6.317,-3.573,-0.730,2.747,-4.568,0.838,-0.000,-2.384,-3.716,0.000,85.683,3.432,-0.756,120.054,-40.034
82795.830,300.744,0.959,25.059,301.120,300.545,-8.865,-4.236,-2.459,-0.835,0.216,-5.087,-4.380,-4.818,-3.238,-0.417,3.592,-4.462,1.047,0.523,-1.555,-3.378,0.000,85.683,3.472,-0.756,120.038,-40.023
82795.830,300.746,0.959,25.052,300.962,300.865,-9.189,-3.121,-2.673,-0.313,0.757,-5.917,-4.059,-4.711,-2.679,-0.208,3.275,-3.293,0.942,0.314,-1.348,-3.941,0.000,85.779,3.523,-0.756,120.038,-40.023
82795.830,300.744,0.959,25.052,300.962,300.545,-9.514,-3.010,-1.711,-0.835,0.325,-5.087,-4.914,-4.925,-2.903,-0.521,3.275,-4.037,1.361,-0.209,-1.866,-3.266,0.000,85.798,3.554,-0.757,120.021,-40.034
82795.830,300.746,0.959,25.052,300.962,300.545,-9.838,-3.902,-2.566,-1.253,0.108,-5.191,-3.632,-5.567,-2.903,0.313,2.641,-4.462,1.466,-0.418,-1.969,-3.266,0.000,85.798,3.554,-0.754,120.021,-40.012
82803.893,300.748,0.959,25.051,300.962,300.385,-8.541,-3.679,-2.459,-0.731,-0.324,-4.775,-4.166,-5.675,-2.903,0.313,3.698,-4.037,1.047,0.209,-1.866,-3.604,0.000,85.856,3.564,-0.754,120.070,-40.023
82791.798,300.744,0.959,25.056,301.041,300.385,-8.649,-3.344,-2.246,-1.357,0.433,-5.398,-4.700,-5.139,-3.796,-0.417,3.381,-4.780,1.571,0.314,-1.658,-3.941,0.000,85.952,3.594,-0.752,120.054,-40.044
82799.861,300.744,0.959,25.055,301.041,300.545,-8.973,-3.233,-3.208,-0.835,-0.216,-5.398,-4.914,-5.246,-2.903,-0.834,2.430,-4.568,0.209,-0.314,-1.866,-3.941,0.000,85.933,3.574,-0.751,120.070,-40.034
82799.861,300.748,0.959,25.052,300.962,299.904,-9.730,-4.013,-2.353,-1.044,-0.216,-5.294,-5.127,-5.032,-2.903,0.104,3.064,-4.462,1.466,-0.836,-1.555,-3.153,0.000,85.971,3.574,-0.749,120.038,-40.034
