%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83029.651,300.528,0.962,25.032,301.539,300.727,-8.326,-4.682,-1.711,-0.835,-0.108,-4.672,-4.805,-4.817,-3.461,0.000,3.698,-4.993,2.094,0.419,-1.762,-3.153,0.000,17.605,-3.674,0.199,240.060,-49.996
83029.651,300.527,0.962,25.032,301.539,300.567,-8.109,-2.787,-2.352,-0.626,0.649,-5.607,-4.058,-4.924,-2.568,-0.104,2.958,-3.930,1.257,0.314,-0.829,-3.604,0.000,17.586,-3.694,0.199,240.060,-49.996
83025.619,300.528,0.962,25.029,301.460,300.727,-7.677,-2.453,-1.604,-0.418,0.973,-4.049,-4.592,-4.924,-2.568,-0.625,3.487,-3.824,1.676,0.209,-1.658,-3.153,0.000,17.528,-3.705,0.196,240.027,-49.996
83025.619,300.527,0.962,25.029,301.460,300.888,-9.299,-3.567,-1.818,-1.879,-0.432,-5.191,-4.912,-5.460,-4.019,-0.313,2.536,-4.568,1.466,-0.314,-1.762,-3.041,0.000,17.509,-3.725,0.194,240.060,-50.006
83025.619,300.530,0.962,25.029,301.460,300.727,-7.785,-3.122,-1.711,0.105,0.324,-4.568,-4.485,-5.245,-2.679,0.313,3.170,-4.780,1.047,0.419,-2.902,-3.266,0.000,17.471,-3.725,0.193,240.044,-49.996
83033.682,300.525,0.963,25.034,301.618,300.567,-7.893,-3.679,-2.031,-0.418,0.216,-5.087,-4.378,-4.817,-3.349,0.313,3.592,-4.143,2.199,0.523,-1.140,-3.604,0.000,17.451,-3.735,0.190,240.027,-49.974
83029.651,300.525,0.962,25.025,301.381,300.407,-8.218,-2.676,-2.566,-1.044,0.216,-5.191,-4.805,-5.138,-2.233,-0.625,2.536,-4.355,0.209,0.105,-2.384,-3.153,0.000,17.451,-3.735,0.188,240.027,-49.985
83025.619,300.524,0.962,25.032,301.539,300.727,-8.434,-3.122,-2.031,-0.940,0.108,-4.776,-4.912,-5.031,-2.568,0.522,3.170,-4.462,1.780,-0.418,-1.969,-3.153,0.000,17.471,-3.745,0.186,240.044,-49.996
83025.619,300.525,0.962,25.022,301.302,300.567,-8.650,-3.902,-2.138,-0.835,0.216,-4.984,-3.844,-5.674,-3.126,0.522,2.536,-4.568,1.885,0.419,-1.969,-2.590,0.000,17.471,-3.745,0.183,240.044,-49.996
83025.619,300.525,0.962,25.026,301.381,300.407,-7.677,-4.236,-1.497,-0.626,0.216,-4.257,-4.592,-4.603,-2.680,0.731,3.275,-4.993,1.676,0.942,-1.658,-3.716,0.000,17.509,-3.745,0.181,240.060,-50.006
83021.588,300.525,0.962,25.030,301.460,300.087,-8.109,-3.233,-2.459,-0.626,0.324,-5.503,-4.592,-5.888,-3.461,-0.313,2.747,-4.037,1.885,0.523,-1.555,-3.716,0.000,17.528,-3.694,0.179,240.027,-49.985
83029.651,300.524,0.962,25.028,301.460,300.247,-8.109,-2.787,-1.711,-0.104,1.081,-3.738,-3.844,-4.603,-1.898,-0.313,3.804,-3.718,1.780,0.733,-1.658,-3.041,0.000,17.528,-3.705,0.178,240.060,-49.985
83025.619,300.525,0.962,25.022,301.302,300.407,-8.650,-3.010,-1.925,-0.940,0.216,-4.776,-4.592,-5.138,-2.680,0.731,3.064,-4.249,1.571,0.628,-0.933,-2.140,0.000,17.528,-3.674,0.176,240.044,-49.985
83025.619,300.525,0.962,25.019,301.223,300.407,-7.028,-2.899,-1.390,0.418,0.973,-3.945,-4.271,-5.138,-2.010,0.835,4.437,-4.143,1.675,1.361,-2.177,-3.378,0.000,17.624,-3.654,0.172,240.027,-49.974
83029.651,300.525,0.962,25.025,301.381,300.407,-8.650,-4.459,-2.673,-1.253,-0.108,-5.295,-4.805,-4.924,-3.796,-0.000,4.120,-4.674,1.989,0.628,-1.140,-2.590,0.000,17.624,-3.623,0.171,240.027,-49.985
83025.619,300.525,0.962,25.026,301.381,300.087,-7.677,-2.899,-2.245,-0.418,0.541,-4.672,-4.485,-4.710,-1.786,-0.208,3.487,-4.143,1.466,0.628,-2.073,-3.604,0.000,17.682,-3.593,0.168,240.060,-49.985
83025.619,300.522,0.962,25.022,301.302,300.247,-7.785,-3.010,-1.497,-0.418,0.973,-4.257,-4.485,-4.282,-1.786,0.731,3.804,-4.037,1.989,-0.314,-1.658,-2.928,0.000,17.701,-3.583,0.166,240.044,-49.996
