%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82356.408,298.193,0.962,24.993,300.497,116.951,-7.458,-2.341,-2.031,-0.209,0.757,-3.841,-3.631,-4.389,-1.340,0.209,3.487,-3.187,1.361,0.837,-1.140,-3.153,0.000,42.803,21.792,-1.853,60.015,-5.058
82356.408,298.193,0.962,24.999,300.655,115.670,-7.783,-2.230,-0.748,-0.626,0.973,-3.737,-3.524,-4.175,-2.009,1.253,3.698,-3.187,2.618,0.419,-0.622,-1.914,0.000,42.726,21.853,-1.849,59.982,-5.058
82352.377,298.192,0.962,25.000,300.655,115.030,-7.567,-2.230,-1.069,-0.000,0.216,-4.153,-3.204,-5.139,-1.674,0.626,3.487,-3.399,2.304,1.361,-1.244,-2.477,0.000,42.630,21.883,-1.845,59.998,-5.058
82356.408,298.193,0.962,24.993,300.497,114.229,-6.918,-2.676,-1.176,0.105,0.649,-3.841,-3.310,-4.068,-2.344,1.462,4.437,-3.718,1.885,0.837,-1.348,-2.702,0.000,42.495,21.934,-1.839,59.982,-5.069
82348.345,298.193,0.962,25.001,300.655,113.109,-7.134,-1.561,-1.604,0.105,0.973,-5.294,-3.310,-4.282,-1.898,1.044,4.226,-3.506,2.199,1.151,-0.933,-3.265,0.000,42.418,21.985,-1.834,59.966,-5.079
82348.345,298.192,0.962,25.000,300.655,112.148,-7.891,-2.453,-1.604,-0.209,1.298,-3.114,-3.844,-4.068,-1.786,0.626,4.226,-3.187,2.722,1.256,-0.933,-2.252,0.000,42.341,22.025,-1.830,60.015,-5.069
82348.345,298.190,0.962,24.994,300.497,111.828,-7.891,-2.787,-0.535,-0.626,1.190,-3.633,-3.631,-4.282,-2.009,1.253,3.381,-4.037,1.885,0.105,-1.348,-2.702,0.000,42.226,22.066,-1.823,59.998,-5.058
82352.377,298.192,0.962,24.997,300.576,111.187,-7.675,-3.010,-1.069,0.314,0.216,-3.633,-3.524,-4.603,-2.344,1.253,4.543,-3.399,2.304,1.361,-1.659,-2.590,0.000,42.187,22.107,-1.820,59.982,-5.047
82348.345,298.190,0.962,24.997,300.576,110.387,-7.134,-2.787,-1.283,-0.000,1.081,-3.945,-3.844,-4.175,-2.456,1.148,3.909,-3.824,2.199,1.675,-0.622,-2.590,0.000,42.091,22.137,-1.814,59.998,-5.069
82348.345,298.192,0.962,24.991,300.417,109.747,-7.458,-1.895,-2.031,0.314,0.757,-4.256,-3.738,-4.496,-1.228,0.835,3.909,-3.824,1.466,1.047,-1.037,-3.378,0.000,42.014,22.158,-1.809,59.998,-5.069
82344.314,298.193,0.962,24.991,300.417,109.587,-7.350,-1.672,-1.390,-0.000,0.865,-3.841,-4.271,-4.603,-1.675,0.731,4.015,-3.399,2.722,0.733,-1.244,-2.590,0.000,41.937,22.188,-1.804,59.982,-5.047
82352.377,298.192,0.962,24.993,300.497,108.786,-8.431,-2.230,-0.855,-0.731,0.649,-3.841,-3.310,-4.496,-1.675,1.148,2.958,-3.824,2.199,0.733,-1.659,-3.040,0.000,41.918,22.249,-1.800,59.998,-5.058
82340.282,298.195,0.962,24.995,300.497,108.786,-7.783,-3.345,-0.748,0.314,0.216,-3.945,-3.844,-4.496,-2.680,0.626,3.487,-3.718,1.466,1.151,-1.451,-3.153,0.000,41.860,22.269,-1.797,59.982,-5.047
82340.282,298.192,0.962,24.995,300.497,108.466,-7.458,-2.564,-1.604,-0.313,1.190,-4.464,-3.951,-4.924,-3.014,0.940,3.909,-3.506,1.780,0.837,-1.451,-3.265,0.000,41.802,22.300,-1.792,59.998,-5.058
82344.314,298.193,0.962,24.995,300.497,108.626,-8.215,-2.453,-1.497,0.314,1.298,-3.945,-3.631,-4.068,-2.233,0.418,4.015,-3.506,1.989,0.942,-0.933,-2.252,0.000,41.802,22.330,-1.789,59.982,-5.058
82340.282,298.192,0.962,24.995,300.497,108.466,-8.215,-2.341,-0.642,-0.626,0.865,-4.256,-4.058,-4.817,-2.010,1.148,3.804,-3.612,2.513,-0.209,-1.037,-2.927,0.000,41.821,22.381,-1.786,59.982,-5.047
82352.377,298.195,0.962,24.984,300.259,108.626,-7.784,-2.787,-1.390,0.523,1.081,-3.633,-3.524,-5.353,-1.786,1.044,3.592,-3.187,2.199,1.256,-1.348,-2.477,0.000,41.821,22.422,-1.782,59.998,-5.058
82352.377,298.190,0.962,24.983,300.259,109.106,-6.811,-3.456,-1.711,0.418,0.324,-3.841,-4.271,-4.389,-2.680,0.940,3.170,-4.780,1.466,1.361,-1.348,-2.927,0.000,41.802,22.483,-1.779,60.031,-5.058
82336.251,298.193,0.962,24.986,300.259,109.106,-7.784,-2.230,-2.138,0.209,1.190,-4.568,-3.524,-4.710,-1.898,1.253,4.121,-3.293,2.199,1.465,-0.726,-3.265,0.000,41.821,22.513,-1.778,59.998,-5.058
82344.314,298.192,0.962,24.988,300.338,109.747,-6.487,-2.118,-1.069,0.627,1.298,-3.322,-3.738,-4.282,-2.010,0.731,3.170,-3.399,2.408,0.733,-1.762,-2.590,0.000,41.841,22.554,-1.776,59.998,-5.069
82352.377,298.193,0.962,24.987,300.338,110.067,-8.541,-3.122,-1.390,-0.626,0.757,-3.633,-3.631,-4.710,-2.233,1.148,2.747,-3.506,2.199,0.733,-0.415,-2.252,0.000,41.860,22.584,-1.773,59.998,-5.058
82344.314,298.193,0.962,24.981,300.180,110.547,-7.027,-2.230,-1.283,0.523,0.757,-3.737,-3.097,-4.603,-1.563,1.566,4.438,-3.399,2.408,1.780,-1.555,-2.702,0.000,41.841,22.615,-1.772,59.982,-5.058
82336.251,298.195,0.962,24.986,300.259,111.027,-6.919,-2.899,-1.069,0.105,1.190,-4.360,-3.951,-3.961,-2.456,1.044,3.804,-3.930,2.513,1.465,-0.726,-3.153,0.000,41.841,22.645,-1.770,59.998,-5.058
82344.314,298.193,0.962,24.988,300.338,111.668,-7.568,-2.230,-2.245,-0.209,0.757,-3.945,-3.631,-4.496,-1.563,0.418,3.909,-2.868,2.408,1.151,-1.244,-2.702,0.000,41.898,22.686,-1.769,59.982,-5.058
82352.377,298.193,0.962,24.987,300.338,112.468,-8.000,-1.784,-0.855,0.314,0.757,-4.152,-4.699,-4.603,-2.568,0.731,4.015,-2.868,2.722,0.942,-0.726,-1.914,0.000,41.879,22.727,-1.767,60.031,-5.047
82340.282,298.195,0.962,24.989,300.338,112.948,-7.676,-1.784,-0.748,0.209,1.298,-3.633,-2.990,-4.496,-1.451,2.088,4.015,-3.187,2.827,1.256,-1.140,-2.477,0.000,41.879,22.767,-1.767,59.982,-5.058
82344.314,298.193,0.962,24.985,300.259,113.909,-7.027,-3.122,-1.711,0.209,0.216,-3.737,-3.738,-4.496,-2.456,1.044,4.015,-3.824,2.722,1.465,-1.140,-2.477,0.000,41.860,22.818,-1.767,60.015,-5.069
82348.345,298.192,0.962,24.987,300.338,114.389,-7.135,-1.672,-0.748,0.418,1.190,-4.256,-3.204,-3.533,-1.563,1.253,3.804,-3.399,2.513,1.361,-0.518,-3.490,0.000,41.821,22.828,-1.765,60.015,-5.069
82348.345,298.197,0.962,24.984,300.259,115.510,-8.000,-1.895,-1.604,-0.418,0.865,-4.568,-4.058,-4.817,-1.786,-0.208,3.487,-3.824,1.989,0.837,-0.829,-2.477,0.000,41.802,22.869,-1.765,59.998,-5.079
82348.345,298.193,0.962,24.984,300.259,116.310,-7.892,-2.118,-0.748,-0.418,1.514,-4.049,-3.631,-4.282,-1.898,1.253,3.804,-3.930,2.094,0.733,-0.933,-3.153,0.000,41.744,22.879,-1.765,59.998,-5.058
82344.314,298.193,0.962,24.985,300.259,116.951,-8.324,-2.899,-1.497,-0.104,0.865,-3.945,-3.524,-5.246,-2.121,1.148,3.698,-3.187,2.513,1.465,-0.518,-2.252,0.000,41.687,22.899,-1.765,59.966,-5.069
82352.377,298.193,0.962,24.983,300.259,117.591,-6.919,-3.122,-1.069,0.105,1.190,-3.737,-3.524,-4.282,-2.456,0.731,3.170,-4.249,1.885,1.047,-1.348,-3.265,0.000,41.667,22.940,-1.765,60.031,-5.036
82348.345,298.197,0.962,24.991,300.417,118.712,-7.999,-2.676,-2.245,-0.418,1.081,-4.568,-3.524,-4.068,-2.121,0.940,3.487,-2.974,1.885,0.942,-0.933,-3.490,0.000,41.571,22.960,-1.765,59.966,-5.058
82352.377,298.193,0.962,24.980,300.180,119.032,-7.026,-2.118,-1.390,-0.313,0.649,-4.049,-4.378,-4.389,-1.451,0.209,3.804,-3.293,2.199,1.151,-1.037,-2.252,0.000,41.494,22.981,-1.766,59.998,-5.058
82348.345,298.195,0.962,24.994,300.497,119.512,-8.539,-2.341,-1.390,-0.626,0.649,-3.737,-4.058,-4.603,-2.680,0.940,2.958,-3.718,2.199,0.523,-0.933,-2.702,0.000,41.417,22.991,-1.766,60.015,-5.069
82352.377,298.198,0.962,24.990,300.417,120.473,-7.242,-2.230,-0.855,0.523,0.433,-3.633,-2.990,-4.817,-1.451,1.462,4.754,-2.868,2.094,1.361,-1.348,-2.139,0.000,41.340,23.021,-1.766,60.015,-5.058
82348.345,298.192,0.962,24.987,300.338,120.953,-6.810,-3.010,-1.711,0.000,0.649,-4.568,-3.524,-4.496,-3.014,0.522,3.698,-4.143,2.199,1.151,-0.933,-3.040,0.000,41.263,23.042,-1.767,59.982,-5.058
82352.377,298.193,0.962,24.997,300.576,121.273,-8.215,-2.564,-1.818,-0.522,0.973,-3.945,-3.524,-4.496,-1.786,0.626,3.804,-3.399,1.571,1.465,-1.037,-2.590,0.000,41.225,23.082,-1.768,59.998,-5.047
82356.408,298.193,0.962,24.993,300.497,122.074,-7.458,-1.895,-0.855,0.000,1.406,-3.945,-3.844,-3.961,-1.786,1.357,3.804,-3.612,2.618,0.837,-0.518,-2.477,0.000,41.148,23.092,-1.768,59.982,-5.058
82356.408,298.195,0.962,24.993,300.497,122.394,-8.215,-2.341,-0.962,-0.104,0.757,-4.049,-2.990,-4.603,-1.898,1.044,2.853,-3.187,2.199,1.151,-0.933,-2.590,0.000,41.129,23.133,-1.770,59.966,-5.058
82352.377,298.192,0.962,24.997,300.576,122.874,-6.810,-3.345,-0.962,0.418,0.541,-3.841,-3.417,-4.817,-2.010,1.148,3.592,-4.143,1.989,1.047,-1.555,-2.477,0.000,41.071,23.143,-1.772,59.982,-5.058
82356.408,298.193,0.962,24.989,300.417,123.194,-7.675,-2.341,-1.176,-0.104,1.622,-4.464,-3.951,-4.068,-2.121,0.940,3.909,-3.081,2.304,1.151,-0.518,-3.265,0.000,41.032,23.164,-1.774,59.998,-5.058
82352.377,298.193,0.962,24.997,300.576,123.355,-7.350,-2.118,-1.283,0.209,1.190,-3.530,-3.844,-4.175,-1.340,0.626,4.332,-3.081,2.304,1.361,-0.415,-2.590,0.000,41.013,23.194,-1.775,60.015,-5.047
82356.408,298.193,0.962,24.999,300.655,123.675,-7.891,-2.118,-1.283,-0.731,0.865,-3.945,-3.631,-5.031,-1.898,1.357,3.170,-3.506,1.675,0.209,-0.726,-2.590,0.000,40.994,23.235,-1.776,60.015,-5.058
82360.439,298.192,0.962,25.005,300.813,123.515,-7.675,-2.676,-0.962,-0.104,0.757,-3.114,-3.631,-5.353,-2.345,1.253,3.804,-3.506,2.094,1.570,-1.348,-2.815,0.000,41.013,23.245,-1.779,59.982,-5.058
82356.408,298.192,0.962,25.009,300.892,123.675,-6.918,-2.787,-1.069,0.105,1.514,-3.737,-3.097,-3.640,-2.010,0.940,4.332,-3.612,2.722,1.570,-0.622,-2.365,0.000,41.032,23.285,-1.780,60.015,-5.058
82356.408,298.192,0.962,25.006,300.813,123.835,-7.242,-1.449,-1.497,-0.209,1.514,-4.152,-3.524,-4.389,-2.010,0.731,4.015,-3.081,1.571,1.151,-1.140,-2.702,0.000,40.994,23.316,-1.782,60.015,-5.058
82344.314,298.192,0.962,25.011,300.892,123.835,-7.350,-2.118,-1.069,0.209,0.757,-3.530,-4.378,-4.068,-1.786,0.522,3.909,-3.930,2.513,0.733,-0.933,-1.576,0.000,41.052,23.336,-1.783,60.015,-5.047
82348.345,298.189,0.962,25.010,300.892,123.675,-8.216,-2.341,-1.283,-0.209,1.081,-3.737,-3.738,-4.817,-2.010,1.044,2.747,-3.293,2.304,0.523,-1.140,-2.477,0.000,41.071,23.387,-1.785,59.998,-5.047
82360.439,298.193,0.962,25.012,300.971,123.515,-7.351,-2.787,-1.390,0.105,0.324,-3.633,-3.417,-4.496,-1.340,1.461,4.332,-3.399,1.989,0.942,-1.762,-2.590,0.000,41.109,23.407,-1.786,60.015,-5.069
82352.377,298.190,0.962,25.013,300.971,123.355,-7.243,-2.564,-1.497,0.418,1.298,-3.841,-4.378,-4.496,-2.456,1.044,3.909,-3.081,1.989,1.361,-0.933,-2.365,0.000,41.109,23.448,-1.787,59.998,-5.069
82348.345,298.190,0.962,25.007,300.813,123.355,-7.351,-2.007,-1.818,0.105,1.298,-4.152,-3.417,-4.175,-1.228,0.835,3.487,-2.974,1.885,1.047,-1.244,-2.815,0.000,41.167,23.489,-1.788,59.966,-5.058
82348.345,298.190,0.962,25.017,301.050,123.194,-6.919,-2.118,-0.748,-0.418,0.433,-3.633,-4.699,-4.496,-1.340,0.731,3.592,-3.718,2.408,0.628,-1.555,-2.477,0.000,41.225,23.519,-1.789,60.015,-5.047
82348.345,298.190,0.962,25.014,300.971,123.194,-8.216,-2.453,-1.604,-0.000,1.190,-3.945,-3.417,-5.246,-2.233,0.522,3.064,-2.974,2.513,1.047,-1.244,-2.702,0.000,41.263,23.540,-1.789,59.998,-5.047
82348.345,298.192,0.962,25.014,300.971,122.874,-7.460,-3.679,-1.604,-0.000,0.433,-4.152,-3.738,-4.389,-2.121,0.940,4.543,-4.037,2.304,1.256,-0.622,-2.590,0.000,41.379,23.540,-1.789,59.982,-5.058
82352.377,298.189,0.962,25.019,301.129,122.874,-7.351,-1.895,-1.497,-0.731,0.973,-4.360,-4.165,-4.282,-2.010,1.461,3.698,-3.081,1.885,1.361,-0.622,-3.040,0.000,41.398,23.580,-1.789,59.998,-5.079
82348.345,298.189,0.962,25.017,301.050,122.714,-7.568,-2.230,-1.069,0.418,0.649,-3.737,-3.631,-4.603,-2.121,0.104,4.121,-2.974,2.408,1.256,-0.726,-2.365,0.000,41.475,23.580,-1.789,60.031,-5.058
82340.282,298.190,0.962,25.018,301.050,122.074,-8.433,-2.564,-0.855,-0.313,1.190,-3.737,-3.738,-4.389,-1.898,1.357,3.381,-3.612,2.304,0.419,-0.415,-2.702,0.000,41.514,23.590,-1.788,59.982,-5.047
82340.282,298.187,0.962,25.011,300.892,122.074,-7.784,-2.230,-0.642,0.105,0.973,-4.152,-3.417,-5.246,-1.340,1.253,4.121,-3.506,1.885,1.256,-1.659,-2.590,0.000,41.571,23.600,-1.788,59.998,-5.079
82352.377,298.189,0.962,25.016,301.050,121.914,-7.676,-3.122,-1.283,-0.418,0.973,-3.945,-3.844,-4.175,-2.345,1.148,4.015,-4.143,2.094,0.942,-1.140,-2.927,0.000,41.590,23.611,-1.787,60.015,-5.036
82340.282,298.190,0.962,25.015,300.971,121.914,-7.568,-1.784,-2.352,-0.209,1.298,-4.256,-3.844,-4.389,-1.898,0.731,3.592,-3.187,1.047,0.209,-1.244,-3.378,0.000,41.648,23.600,-1.784,60.015,-5.047
82340.282,298.190,0.962,25.018,301.050,121.433,-7.892,-2.230,-1.390,-0.313,0.433,-3.633,-4.378,-4.710,-2.121,0.418,3.698,-3.187,2.199,0.419,-1.037,-2.702,0.000,41.725,23.590,-1.784,59.982,-5.058
82336.251,298.190,0.962,25.019,301.050,121.113,-8.000,-2.341,-0.748,-0.418,0.865,-3.633,-3.524,-4.603,-2.010,1.253,3.275,-3.293,2.618,0.733,-0.726,-2.590,0.000,41.744,23.590,-1.782,60.015,-5.047
82344.314,298.189,0.962,25.017,301.050,121.113,-7.243,-2.676,-1.283,0.523,0.649,-3.633,-3.417,-4.924,-2.233,1.148,4.015,-3.824,1.675,1.047,-1.659,-2.815,0.000,41.783,23.570,-1.782,59.982,-5.058
