%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82969.180,300.372,0.962,24.771,295.224,121.448,-8.216,-2.676,-1.710,0.105,1.081,-4.152,-3.631,-4.924,-2.344,-0.104,4.015,-3.506,1.675,0.942,-1.037,-2.477,0.000,-544.798,-289.718,14.557,89.820,-10.013
82969.180,300.370,0.962,24.777,295.382,121.608,-7.135,-2.118,-0.641,-0.731,0.649,-3.737,-3.738,-3.640,-2.233,1.253,3.592,-2.868,2.827,0.314,-0.518,-3.266,0.000,-544.798,-289.718,14.557,89.788,-10.024
82965.148,300.372,0.962,24.775,295.303,121.448,-6.919,-2.564,-1.069,0.418,0.433,-3.737,-3.951,-5.353,-1.898,1.462,4.015,-3.293,2.094,0.942,-1.659,-2.815,0.000,-544.798,-289.718,14.557,89.771,-10.013
82969.180,300.374,0.962,24.768,295.145,121.768,-7.676,-3.345,-1.604,-0.418,0.865,-4.256,-4.271,-4.603,-3.126,0.313,3.909,-4.143,2.408,1.152,-0.518,-3.153,0.000,-544.798,-289.718,14.557,89.755,-10.003
82973.211,300.372,0.962,24.780,295.461,121.768,-7.243,-2.341,-1.497,0.105,0.433,-4.256,-3.844,-4.389,-1.674,0.522,3.275,-3.399,1.675,0.838,-0.726,-3.041,0.000,-544.798,-289.718,14.557,89.771,-10.024
82977.243,300.375,0.962,24.773,295.303,121.608,-7.460,-2.453,-1.604,-0.731,0.433,-3.841,-4.271,-4.603,-2.121,1.148,3.804,-3.612,2.513,0.733,-1.037,-2.928,0.000,-544.798,-289.718,14.557,89.771,-10.024
82969.180,300.374,0.962,24.768,295.145,121.928,-7.784,-2.564,-1.069,0.000,1.081,-3.841,-3.631,-5.246,-2.679,0.522,3.064,-3.187,2.513,1.152,-0.933,-3.041,0.000,-544.798,-289.718,14.557,89.788,-10.013
82977.243,300.377,0.962,24.773,295.303,122.409,-6.919,-3.679,-1.711,-0.313,0.324,-4.152,-3.844,-4.389,-2.344,0.835,4.120,-4.462,2.304,1.047,-1.244,-3.491,0.000,-544.798,-289.718,14.557,89.788,-10.024
82977.243,300.377,0.962,24.763,295.066,122.729,-7.243,-2.230,-2.031,0.105,0.649,-4.672,-3.524,-5.031,-2.010,0.209,3.909,-3.293,2.094,0.942,-1.037,-3.153,0.000,-544.798,-289.718,14.557,89.788,-10.013
82977.243,300.374,0.962,24.773,295.303,122.569,-7.460,-1.895,-1.390,0.000,1.298,-3.841,-4.058,-4.817,-1.898,-0.313,3.804,-3.399,2.618,0.942,-1.037,-2.477,0.000,-544.798,-289.718,14.557,89.788,-10.024
82973.211,300.375,0.962,24.774,295.303,122.889,-8.000,-3.345,-1.283,-0.313,0.649,-3.841,-4.165,-5.246,-2.568,0.731,2.641,-3.718,1.780,0.733,-0.829,-2.815,0.000,-544.798,-289.718,14.557,89.771,-10.035
82981.274,300.374,0.962,24.766,295.145,122.729,-7.243,-3.567,-1.497,-0.418,0.108,-4.568,-3.844,-4.175,-2.121,0.940,4.860,-3.612,2.618,1.570,-1.762,-2.815,0.000,-544.798,-289.718,14.557,89.771,-10.013
82977.243,300.378,0.962,24.767,295.145,123.209,-6.919,-2.453,-1.604,-0.209,1.081,-4.672,-3.844,-4.282,-2.680,0.418,3.804,-3.612,2.722,1.780,-0.829,-3.153,0.000,-544.798,-289.718,14.557,89.771,-10.013
82973.211,300.375,0.962,24.767,295.145,123.850,-7.243,-2.007,-1.497,0.314,1.081,-3.737,-4.165,-4.603,-2.121,0.626,3.804,-3.399,2.513,0.733,-1.451,-3.041,0.000,-544.798,-289.718,14.557,89.771,-10.013
82973.211,300.375,0.962,24.767,295.145,124.010,-7.568,-3.233,-1.283,-0.940,0.865,-4.464,-4.165,-5.031,-2.568,-0.104,3.064,-4.037,2.513,0.105,-0.933,-2.365,0.000,-544.798,-289.718,14.557,89.788,-10.003
82977.243,300.374,0.962,24.770,295.224,124.170,-7.892,-3.345,-1.711,0.314,-0.108,-4.256,-3.738,-5.139,-2.791,1.148,3.804,-4.143,1.885,1.256,-1.866,-3.490,0.000,-544.798,-289.718,14.557,89.755,-10.013
82977.243,300.374,0.962,24.766,295.145,124.650,-7.460,-3.122,-1.497,-0.731,0.757,-4.256,-3.844,-4.710,-2.791,0.940,3.804,-3.612,2.408,1.465,-0.622,-3.040,0.000,-544.798,-289.718,14.557,89.771,-10.035
82981.274,300.374,0.962,24.766,295.145,125.290,-7.568,-1.895,-1.818,-0.522,0.865,-4.256,-3.844,-4.924,-1.898,-0.521,3.909,-3.930,1.780,1.570,-1.140,-3.153,0.000,-544.798,-289.718,14.557,89.771,-10.035
82977.243,300.377,0.962,24.763,295.066,125.611,-7.784,-3.122,-1.176,-1.044,0.108,-3.426,-4.271,-4.924,-1.898,1.462,3.698,-3.824,2.513,-0.104,-0.622,-2.590,0.000,-544.798,-289.718,14.557,89.788,-10.013
82981.274,300.378,0.962,24.766,295.145,125.931,-7.243,-2.453,-1.176,-0.104,0.973,-3.841,-3.417,-5.031,-2.233,1.671,4.121,-3.612,2.827,1.989,-0.933,-2.590,0.000,-544.798,-289.718,14.557,89.771,-10.024
82985.305,300.377,0.962,24.762,295.066,126.091,-6.811,-3.010,-1.390,-0.209,0.865,-4.152,-3.738,-4.282,-2.680,1.044,4.121,-3.824,2.827,1.361,-0.829,-2.477,0.000,-544.798,-289.718,14.557,89.739,-10.024
82981.274,300.378,0.962,24.763,295.066,126.731,-6.919,-2.118,-1.818,0.000,1.190,-3.945,-3.310,-4.282,-1.786,0.731,3.592,-3.612,1.675,0.942,-1.451,-3.716,0.000,-544.798,-289.718,14.557,89.771,-10.024
