%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82848.238,299.640,0.963,24.936,299.475,294.983,-9.297,-3.456,-1.497,-0.835,0.324,-5.294,-4.271,-5.888,-3.238,0.104,2.641,-4.355,0.524,0.000,-2.488,-4.167,0.000,27.903,-3.036,-0.743,59.278,-25.045
82848.238,299.641,0.963,24.940,299.554,294.983,-9.406,-4.794,-2.352,-1.566,-0.216,-5.191,-4.378,-4.924,-3.908,-0.000,3.170,-4.993,1.047,-0.209,-1.762,-3.491,0.000,27.826,-3.046,-0.741,59.295,-25.045
82848.238,299.638,0.963,24.936,299.475,294.983,-9.514,-3.345,-2.566,-1.044,0.108,-5.917,-4.592,-4.924,-3.349,-0.521,2.853,-4.143,0.419,-0.209,-1.762,-4.392,0.000,27.787,-3.046,-0.739,59.295,-25.045
82844.207,299.638,0.963,24.934,299.396,295.303,-9.189,-3.567,-2.245,-1.357,0.108,-4.775,-5.126,-4.389,-3.126,-0.730,3.064,-4.249,1.257,-0.209,-1.969,-3.266,0.000,27.710,-3.056,-0.739,59.327,-25.023
82848.238,299.640,0.963,24.930,299.317,295.143,-10.270,-4.459,-2.459,-1.253,-0.432,-5.191,-4.805,-5.674,-3.908,0.209,2.324,-4.462,1.152,-0.105,-1.762,-3.153,0.000,27.672,-3.087,-0.735,59.311,-25.034
82844.207,299.640,0.963,24.934,299.396,295.303,-8.865,-3.679,-2.780,-0.731,-0.324,-4.775,-4.485,-4.924,-3.126,-0.104,2.853,-4.674,0.733,0.209,-3.006,-4.279,0.000,27.614,-3.077,-0.735,59.327,-25.034
82848.238,299.641,0.963,24.930,299.317,295.624,-9.189,-3.902,-2.566,-0.940,-0.000,-5.191,-4.912,-4.924,-4.243,-0.521,2.536,-4.674,0.733,-0.209,-1.762,-4.505,0.000,27.556,-3.056,-0.732,59.311,-25.055
82848.238,299.638,0.963,24.933,299.396,295.624,-9.297,-3.567,-2.245,-0.731,0.432,-4.983,-3.738,-5.246,-2.233,-0.313,2.958,-4.143,1.047,0.000,-1.555,-3.829,0.000,27.479,-3.056,-0.730,59.327,-25.045
82844.207,299.638,0.963,24.930,299.317,295.624,-9.730,-3.010,-2.352,-1.253,0.108,-5.502,-4.699,-5.460,-3.238,-0.417,2.747,-4.462,0.838,-0.627,-1.658,-3.716,0.000,27.421,-3.077,-0.727,59.344,-25.045
82840.175,299.640,0.963,24.928,299.238,295.464,-9.189,-4.571,-2.673,-0.418,-0.432,-5.191,-4.378,-5.460,-3.238,-0.104,3.487,-4.568,1.361,0.523,-2.073,-3.604,0.000,27.325,-3.056,-0.724,59.344,-25.034
82844.207,299.640,0.963,24.930,299.317,295.784,-8.757,-3.790,-2.138,-0.835,0.865,-5.191,-4.058,-4.496,-3.014,0.104,3.592,-4.674,1.152,0.628,-1.658,-3.941,0.000,27.229,-3.087,-0.721,59.295,-25.045
82844.207,299.638,0.963,24.920,299.080,295.624,-9.297,-3.122,-2.994,-1.149,0.108,-5.606,-5.233,-5.567,-3.349,-1.146,2.641,-4.355,0.105,-0.105,-2.177,-3.491,0.000,27.171,-3.087,-0.717,59.278,-25.055
82840.175,299.637,0.963,24.928,299.238,296.104,-9.730,-3.233,-2.245,-1.149,0.432,-5.502,-5.660,-5.567,-3.126,-0.208,2.853,-3.930,1.152,-0.627,-1.555,-3.153,0.000,27.094,-3.056,-0.714,59.311,-25.045
82836.144,299.637,0.963,24.925,299.159,296.104,-10.595,-3.902,-2.138,-0.940,0.541,-4.983,-4.271,-5.246,-2.680,0.522,2.641,-4.355,1.152,0.419,-1.348,-3.266,0.000,27.056,-3.066,-0.711,59.295,-25.055
82844.207,299.638,0.963,24.927,299.238,296.264,-8.541,-4.459,-2.352,-0.731,-0.000,-4.983,-4.592,-5.031,-3.126,-0.521,2.853,-4.887,0.524,-0.627,-3.006,-3.716,0.000,26.960,-3.066,-0.707,59.295,-25.045
