%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82807.924,299.811,0.962,14.862,106.271,105.685,-8.866,-4.459,-1.818,-0.522,0.000,-5.191,-4.700,-4.711,-3.908,-0.000,2.959,-4.781,1.152,-0.000,-1.969,-3.716,0.000,71.822,42.452,-0.092,120.059,-40.015
82807.924,299.808,0.962,14.873,106.429,106.006,-8.974,-3.344,-2.459,-1.148,0.108,-6.125,-4.273,-5.246,-3.238,-0.521,2.853,-4.462,0.838,-0.000,-1.658,-4.167,0.000,71.803,42.422,-0.084,120.010,-40.004
82807.924,299.809,0.962,14.862,106.271,106.006,-9.407,-3.010,-2.139,-1.044,0.108,-5.087,-4.807,-5.032,-2.345,-1.147,3.276,-3.825,0.942,-0.418,-1.969,-3.040,0.000,71.784,42.402,-0.078,120.026,-40.004
82807.924,299.809,0.962,14.862,106.271,105.845,-9.299,-3.567,-1.390,-1.671,0.108,-5.191,-4.914,-5.139,-2.903,-0.208,2.747,-4.462,0.838,-0.314,-1.555,-3.604,0.000,71.803,42.361,-0.070,120.075,-40.015
82807.924,299.809,0.962,14.868,106.350,105.525,-8.866,-3.344,-2.459,-0.522,-0.108,-5.398,-4.380,-5.889,-2.903,0.104,3.170,-4.037,1.257,0.105,-1.969,-3.491,0.000,71.784,42.330,-0.062,120.042,-40.004
82799.861,299.808,0.962,14.869,106.350,106.006,-9.191,-4.348,-2.139,-0.940,-0.108,-5.607,-4.166,-4.497,-3.685,-0.625,3.276,-4.781,1.361,0.105,-1.866,-3.491,0.000,71.765,42.290,-0.055,120.026,-40.004
82803.893,299.809,0.962,14.868,106.350,105.685,-8.974,-3.790,-2.353,-0.626,0.108,-5.814,-4.593,-4.925,-3.127,-0.208,3.276,-4.143,0.524,0.105,-1.658,-3.604,0.000,71.765,42.280,-0.048,120.042,-40.004
82803.893,299.806,0.962,14.857,106.192,105.845,-8.866,-3.121,-1.604,-0.835,0.757,-4.984,-4.807,-5.032,-2.792,-0.625,2.747,-4.037,1.152,-0.000,-2.073,-3.040,0.000,71.765,42.259,-0.040,120.059,-40.004
82807.924,299.809,0.962,14.868,106.350,106.166,-10.056,-3.679,-1.925,-1.148,0.216,-4.984,-4.593,-4.925,-2.679,0.418,2.642,-4.037,1.571,-0.000,-1.658,-3.040,0.000,71.707,42.259,-0.035,120.042,-40.004
82807.924,299.808,0.962,14.868,106.350,106.006,-8.326,-3.567,-2.032,-0.522,-0.756,-4.776,-4.486,-5.567,-2.679,0.313,3.593,-4.356,0.942,0.419,-2.384,-3.266,0.000,71.726,42.249,-0.027,120.042,-40.025
82803.893,299.809,0.962,14.868,106.350,106.006,-8.650,-4.236,-2.139,-0.522,0.541,-5.191,-4.700,-5.032,-3.684,-0.521,3.381,-4.462,1.571,0.105,-1.451,-3.716,0.000,71.726,42.239,-0.022,120.042,-40.004
82799.861,299.806,0.962,14.869,106.350,106.006,-9.191,-3.233,-2.673,-0.835,0.541,-5.191,-4.700,-4.711,-2.791,-0.521,3.064,-4.355,0.314,-0.523,-1.555,-3.604,0.000,71.726,42.219,-0.016,120.059,-40.004
82799.861,299.809,0.962,14.869,106.350,106.006,-9.191,-2.676,-2.353,-1.253,-0.108,-5.087,-5.020,-5.139,-3.238,-0.104,3.275,-4.462,1.047,-0.209,-1.451,-2.928,0.000,71.688,42.209,-0.011,120.059,-40.004
82803.893,299.808,0.962,14.868,106.350,106.006,-9.731,-3.567,-2.246,-1.148,0.216,-4.984,-4.273,-5.353,-3.349,-0.417,2.324,-4.568,0.942,-0.105,-1.555,-3.716,0.000,71.630,42.209,-0.005,120.059,-40.004
82799.861,299.809,0.962,14.858,106.192,105.845,-8.326,-4.682,-1.604,-0.940,-0.648,-5.087,-4.486,-4.925,-3.796,-0.104,3.170,-4.568,0.524,0.733,-2.384,-3.829,0.000,71.688,42.198,0.000,120.042,-40.004
82791.798,299.808,0.962,14.864,106.271,106.166,-8.974,-3.567,-2.566,-0.940,0.649,-6.126,-4.914,-5.139,-3.684,-0.208,3.381,-4.780,1.361,0.000,-1.451,-3.491,0.000,71.688,42.219,0.005,120.042,-40.025
82799.861,299.806,0.962,14.869,106.350,106.006,-9.081,-3.121,-2.887,-1.357,-0.432,-5.191,-4.380,-5.246,-2.903,-0.938,3.064,-3.824,0.628,-0.209,-1.762,-2.703,0.000,71.688,42.198,0.010,120.026,-40.004
82795.830,299.808,0.962,14.863,106.271,106.006,-9.405,-3.456,-1.818,-1.462,0.216,-5.399,-5.341,-4.711,-2.903,0.000,2.747,-4.249,1.257,-0.941,-2.177,-3.378,0.000,71.669,42.198,0.015,120.075,-40.015
82795.830,299.808,0.962,14.869,106.350,106.166,-9.622,-3.121,-1.604,-0.940,-0.108,-5.295,-4.700,-5.996,-3.349,-0.104,2.324,-4.249,1.047,0.000,-1.555,-3.829,0.000,71.707,42.209,0.018,120.042,-40.004
82795.830,299.811,0.962,14.875,106.429,106.006,-8.973,-4.348,-2.246,-0.940,-0.540,-5.399,-4.273,-4.925,-3.349,-0.417,3.698,-4.674,0.838,-0.314,-2.280,-3.491,0.000,71.726,42.239,0.022,120.059,-40.004
82807.924,299.809,0.962,14.868,106.350,106.326,-9.189,-3.567,-2.887,-1.566,0.108,-5.814,-4.700,-5.353,-3.461,-0.730,3.592,-3.824,1.361,-0.314,-1.555,-4.279,0.000,71.707,42.219,0.027,120.026,-40.015
82799.861,299.808,0.962,14.863,106.271,106.326,-8.865,-3.233,-2.887,-0.835,-0.432,-4.879,-4.593,-4.925,-2.679,-1.355,3.275,-4.462,0.838,0.000,-1.866,-3.153,0.000,71.765,42.219,0.030,120.026,-39.993
82799.861,299.809,0.962,14.869,106.350,105.845,-9.405,-3.679,-2.139,-2.088,0.000,-5.294,-4.166,-4.925,-2.679,-0.104,3.487,-4.355,0.733,-0.627,-1.969,-3.378,0.000,71.765,42.198,0.035,120.042,-40.015
82795.830,299.809,0.962,14.863,106.271,106.166,-9.513,-4.125,-2.246,-0.835,-0.540,-5.191,-4.486,-6.103,-3.126,-0.417,3.487,-4.355,1.152,-0.105,-1.866,-3.604,0.000,71.784,42.229,0.038,120.042,-39.993
82795.830,299.808,0.962,14.874,106.429,106.166,-8.865,-4.682,-2.780,-0.835,-0.324,-5.502,-4.807,-4.604,-4.019,-0.521,3.170,-4.993,1.257,0.628,-1.969,-3.829,0.000,71.822,42.219,0.041,120.059,-40.004
82799.861,299.806,0.962,14.874,106.429,106.166,-8.973,-3.010,-2.673,-0.835,0.216,-5.606,-4.166,-4.818,-3.126,-0.104,3.064,-4.037,0.942,0.000,-1.244,-3.604,0.000,71.861,42.209,0.044,120.042,-40.004
82791.798,299.811,0.962,14.864,106.271,106.166,-8.757,-2.899,-2.139,-1.044,-0.108,-5.087,-4.807,-5.353,-2.791,-0.938,3.381,-4.143,1.361,-0.314,-1.140,-2.703,0.000,71.899,42.198,0.047,120.075,-39.993
82795.830,299.809,0.962,14.875,106.429,106.326,-9.730,-3.233,-2.032,-1.148,0.108,-4.879,-4.593,-5.567,-3.014,0.313,3.170,-4.250,1.361,-0.209,-2.073,-3.604,0.000,71.957,42.198,0.050,120.059,-40.015
82795.830,299.804,0.962,14.874,106.429,106.326,-9.297,-4.013,-2.673,-0.940,-0.756,-5.398,-4.380,-5.567,-3.126,0.000,3.170,-4.356,0.524,0.523,-2.177,-3.378,0.000,72.034,42.178,0.052,120.059,-40.015
82795.830,299.811,0.962,14.875,106.429,106.326,-8.432,-4.571,-2.246,-0.835,0.216,-5.502,-4.593,-4.818,-4.019,0.104,3.275,-4.250,1.257,0.733,-1.555,-3.378,0.000,72.053,42.178,0.055,120.026,-40.015
82799.861,299.808,0.962,14.874,106.429,106.326,-9.622,-3.567,-3.101,-0.626,-0.216,-5.813,-4.700,-5.139,-3.349,-0.521,3.275,-4.037,0.105,-0.000,-2.073,-3.604,0.000,72.130,42.178,0.057,120.059,-39.993
82799.861,299.812,0.962,14.880,106.509,106.326,-9.513,-3.456,-1.925,-1.148,-0.108,-4.775,-5.234,-4.604,-2.568,-0.313,3.064,-3.718,0.942,-0.314,-2.073,-3.266,0.000,72.169,42.168,0.060,120.059,-40.004
82795.830,299.811,0.962,14.880,106.509,106.166,-9.191,-3.456,-1.925,-1.044,-0.108,-5.087,-4.059,-5.460,-3.796,-0.104,2.113,-3.718,1.257,0.105,-1.140,-3.153,0.000,72.265,42.127,0.062,120.042,-40.025
82799.861,299.811,0.962,14.880,106.509,106.486,-8.974,-4.794,-1.818,-0.418,-0.324,-4.983,-4.059,-5.032,-3.126,0.104,3.381,-4.143,1.361,0.733,-2.488,-2.928,0.000,72.265,42.107,0.064,120.075,-40.015
82795.830,299.809,0.962,14.869,106.350,106.166,-9.407,-3.679,-2.673,-1.044,0.216,-5.502,-4.059,-5.032,-3.238,-0.208,3.064,-4.037,1.152,0.314,-2.177,-3.604,0.000,72.342,42.107,0.066,120.075,-40.004
82795.830,299.812,0.962,14.880,106.509,106.486,-8.434,-3.233,-2.459,-0.626,-0.324,-5.813,-4.593,-4.925,-2.903,-0.730,2.747,-4.250,0.733,0.419,-1.969,-2.928,0.000,72.419,42.076,0.068,120.026,-40.015
82795.830,299.809,0.962,14.880,106.509,106.166,-9.082,-3.010,-2.353,-1.148,0.541,-4.983,-5.127,-4.818,-2.903,0.000,2.958,-4.462,1.780,-0.523,-1.866,-3.153,0.000,72.477,42.046,0.070,120.042,-40.004
82803.893,299.811,0.962,14.874,106.429,106.486,-9.299,-3.790,-1.604,-0.731,-0.648,-5.607,-4.166,-5.889,-2.679,-0.313,2.958,-4.356,0.733,0.314,-1.762,-3.604,0.000,72.554,42.036,0.072,120.026,-39.982
82799.861,299.812,0.962,14.880,106.509,106.326,-8.974,-4.125,-2.459,-1.044,-0.540,-5.503,-4.700,-5.139,-3.238,-0.625,4.437,-5.206,1.361,0.209,-1.555,-3.716,0.000,72.573,42.026,0.073,120.042,-40.015
82795.830,299.811,0.962,14.875,106.429,106.006,-8.866,-3.679,-2.566,-0.626,0.649,-5.503,-4.273,-5.139,-3.238,0.000,3.170,-4.143,1.047,-0.105,-1.348,-4.167,0.000,72.631,41.995,0.074,120.075,-40.015
82799.861,299.808,0.962,14.880,106.509,106.166,-8.542,-3.456,-2.673,-1.253,0.649,-4.776,-5.020,-5.246,-3.126,-1.251,2.430,-4.568,0.942,-0.000,-2.073,-2.815,0.000,72.708,41.965,0.075,120.042,-40.015
82799.861,299.812,0.962,14.869,106.350,106.486,-9.515,-3.567,-2.459,-1.462,0.541,-5.295,-4.486,-5.353,-2.791,-0.208,2.853,-4.675,1.466,-0.732,-1.866,-2.928,0.000,72.708,41.944,0.076,120.042,-39.982
82799.861,299.812,0.962,14.869,106.350,106.486,-9.623,-3.902,-1.925,-1.044,0.000,-5.191,-4.486,-5.996,-3.014,-0.104,3.592,-4.568,0.942,0.523,-2.073,-3.716,0.000,72.766,41.924,0.077,120.042,-40.004
82807.924,299.814,0.962,14.879,106.509,106.486,-8.434,-4.348,-2.673,-1.148,-0.324,-5.399,-4.166,-5.032,-3.796,-0.208,3.170,-5.312,1.047,0.314,-1.866,-3.604,0.000,72.785,41.904,0.079,120.026,-40.004
82807.924,299.812,0.962,14.885,106.588,106.166,-9.191,-3.567,-2.673,-0.940,0.324,-5.503,-4.166,-5.139,-3.014,-0.208,2.747,-4.037,1.152,0.105,-1.866,-3.604,0.000,72.804,41.873,0.078,120.059,-40.004
82799.861,299.812,0.962,14.863,106.271,106.166,-8.974,-3.344,-1.925,-0.731,-0.648,-5.087,-5.127,-4.711,-2.568,-0.521,3.592,-4.143,0.943,0.209,-1.658,-3.153,0.000,72.843,41.863,0.080,120.059,-40.015
82803.893,299.811,0.962,14.874,106.429,106.166,-9.515,-3.456,-1.604,-1.671,0.000,-5.295,-4.486,-4.925,-3.238,0.209,2.430,-4.037,1.571,-0.732,-1.140,-2.815,0.000,72.881,41.843,0.080,120.010,-40.004
82799.861,299.811,0.962,14.874,106.429,106.326,-8.650,-4.013,-2.032,-0.313,-0.108,-5.087,-4.380,-5.460,-3.014,-0.313,3.487,-4.143,1.152,0.419,-2.384,-2.928,0.000,72.843,41.833,0.080,120.042,-40.004
82799.861,299.812,0.962,14.863,106.271,106.166,-9.405,-3.902,-2.139,-0.731,0.541,-5.087,-4.380,-4.925,-3.238,-0.417,3.064,-4.037,1.361,-0.105,-1.348,-3.491,0.000,72.843,41.833,0.081,120.059,-40.004
82799.861,299.812,0.962,14.880,106.509,106.166,-9.189,-2.787,-2.780,-1.462,-0.216,-5.710,-4.700,-5.460,-3.126,-0.521,2.324,-3.931,0.524,0.628,-1.555,-3.716,0.000,72.823,41.802,0.082,120.075,-40.015
82803.893,299.811,0.962,14.874,106.429,106.326,-9.081,-3.010,-2.139,-0.626,-0.108,-4.880,-4.807,-5.567,-2.456,-0.104,3.381,-3.825,1.257,-0.209,-1.866,-3.266,0.000,72.804,41.822,0.080,120.042,-40.004
82799.861,299.809,0.962,14.874,106.429,106.326,-9.838,-3.456,-2.566,-1.775,0.000,-5.295,-4.700,-5.460,-3.238,-0.104,2.430,-4.462,0.943,-0.523,-1.762,-3.266,0.000,72.766,41.822,0.081,120.010,-39.982
82803.893,299.809,0.962,14.874,106.429,106.326,-8.973,-4.013,-2.566,-0.835,-0.648,-5.191,-4.700,-5.567,-3.238,0.000,3.592,-4.675,0.524,0.419,-2.280,-3.491,0.000,72.689,41.833,0.081,120.075,-39.993
82803.893,299.812,0.962,14.879,106.509,106.326,-9.189,-3.790,-2.139,-0.940,0.324,-5.710,-4.273,-5.139,-3.796,-0.104,3.064,-4.250,0.838,-0.000,-1.451,-3.604,0.000,72.631,41.822,0.082,120.026,-40.015
82795.830,299.812,0.962,14.869,106.350,106.326,-9.513,-3.121,-2.780,-0.104,-0.216,-5.503,-5.020,-5.353,-2.233,-0.938,2.536,-4.250,0.628,0.105,-2.177,-3.604,0.000,72.592,41.853,0.082,120.059,-40.015
82803.893,299.811,0.962,14.879,106.509,106.326,-9.297,-3.121,-2.032,-1.357,0.000,-5.191,-4.700,-5.032,-3.014,-0.730,3.170,-4.781,1.571,-0.209,-1.451,-3.153,0.000,72.477,41.883,0.082,120.026,-39.993
82807.924,299.811,0.962,14.873,106.429,106.326,-10.054,-3.456,-2.032,-0.940,0.108,-4.984,-4.273,-5.996,-3.014,0.000,2.747,-4.462,1.047,-0.000,-1.866,-3.604,0.000,72.438,41.904,0.082,120.042,-40.025
82803.893,299.812,0.962,14.874,106.429,106.326,-8.541,-3.790,-2.566,-0.731,-0.432,-5.087,-4.593,-5.567,-3.461,-0.417,3.381,-4.887,1.466,-0.105,-1.969,-3.378,0.000,72.323,41.924,0.083,120.042,-39.993
82795.830,299.814,0.962,14.880,106.509,106.326,-8.973,-3.233,-1.925,-1.148,0.433,-6.022,-4.593,-4.818,-3.014,-0.625,3.170,-4.356,1.257,-0.000,-1.348,-4.392,0.000,72.227,41.955,0.083,120.042,-39.993
82799.861,299.811,0.962,14.880,106.509,106.166,-9.189,-3.121,-2.780,-0.940,0.000,-4.776,-4.807,-4.818,-1.786,-0.938,3.170,-4.143,1.885,-0.209,-1.555,-2.928,0.000,72.150,42.005,0.083,120.042,-40.025
82803.893,299.809,0.962,14.874,106.429,106.166,-9.297,-3.567,-1.497,-1.671,0.108,-5.191,-4.593,-5.139,-3.461,0.104,2.958,-4.037,1.361,-0.732,-1.451,-2.815,0.000,72.034,42.046,0.083,120.042,-40.004
82795.830,299.809,0.962,14.869,106.350,106.166,-8.324,-3.567,-1.818,-0.626,-0.324,-5.087,-3.952,-5.782,-3.349,-0.313,3.381,-4.249,1.152,0.105,-1.451,-3.716,0.000,71.880,42.066,0.084,120.026,-39.993
82803.893,299.812,0.962,14.879,106.509,106.166,-8.757,-4.236,-1.925,-0.731,-0.432,-4.984,-4.059,-4.069,-2.903,0.000,3.064,-4.780,0.838,-0.314,-2.073,-3.378,0.000,71.784,42.117,0.085,120.059,-40.004
82803.893,299.811,0.962,14.874,106.429,106.166,-8.757,-2.899,-2.246,-0.835,0.324,-6.126,-4.380,-5.032,-3.349,-0.521,3.064,-4.037,0.838,0.419,-1.451,-4.279,0.000,71.649,42.158,0.086,120.059,-40.015
